species_id,sci_name,type_kind,type_voucher,voucher_matches_metadata,type_voucher_uri,uri_domain,inferred_institution_abbreviation,inference_note,review_action
1000332,Acrobates_pygmaeus,lectotype,BMNH:Mamm:1883.3.17.1,yes,https://data.nhm.ac.uk/object/3b1151c2-7517-41c9-b0ad-172e67127baf,data.nhm.ac.uk,BM,Natural History Museum London data portal URI,Supplementary URI signal for already matched voucher.
1006233,Addax_nasomaculatus,holotype,BMNH:Mamm:639d,yes,https://data.nhm.ac.uk/object/33a0197b-8cca-41d7-abdd-5074724fe5a9 | https://data.nhm.ac.uk/object/4b46475c-93ad-4122-8609-71cccf5618dc,data.nhm.ac.uk,BM,Natural History Museum London data portal URI,Supplementary URI signal for already matched voucher.
1002516,Aegialomys_galapagoensis,holotype,BMNH:Mamm:1855.12.24.175,yes,https://data.nhm.ac.uk/object/7f5b00d8-231a-4797-852a-c319e82f991c,data.nhm.ac.uk,BM,Natural History Museum London data portal URI,Supplementary URI signal for already matched voucher.
1002518,Aegialomys_xanthaeolus,holotype,BMNH:Mamm:1885.4.1.47,yes,https://data.nhm.ac.uk/object/0a5e216b-acf1-49fe-b4de-068d8486a09e,data.nhm.ac.uk,BM,Natural History Museum London data portal URI,Supplementary URI signal for already matched voucher.
1000319,Aepyprymnus_rufescens,holotype,BMNH:Mamm:1866.8.6.3,yes,https://data.nhm.ac.uk/object/134e4554-3ffc-473f-abfc-fcb042c7d19e,data.nhm.ac.uk,BM,Natural History Museum London data portal URI,Supplementary URI signal for already matched voucher.
1001613,Aeromys_thomasi,holotype,BMNH:Mamm:1899.12.9.32,yes,https://data.nhm.ac.uk/object/b892124d-2ff0-42dc-879c-fb84378ef208,data.nhm.ac.uk,BM,Natural History Museum London data portal URI,Supplementary URI signal for already matched voucher.
1006429,Aethalodelphis_obscurus,syntypes,BMNH:Mamm:1841.1733,yes,https://data.nhm.ac.uk/object/087862c6-a309-4628-bccb-116bf3e18826 | https://data.nhm.ac.uk/object/81bec57b-c78d-41be-bfa3-59022d922cfb | https://data.nhm.ac.uk/object/c3d37b2d-084e-4667-9f48-218a9908d9cb,data.nhm.ac.uk,BM,Natural History Museum London data portal URI,Supplementary URI signal for already matched voucher.
1004358,Aethalops_alecto,holotype,BMNH:Mamm:1923.1.2.1,yes,https://data.nhm.ac.uk/object/89b212fc-7852-4749-bcf5-4e7dc4009781,data.nhm.ac.uk,BM,Natural History Museum London data portal URI,Supplementary URI signal for already matched voucher.
1003032,Aethomys_bocagei,holotype,BMNH:Mamm:1904.4.9.62,yes,https://data.nhm.ac.uk/object/fa46dfba-1a8a-42e9-836e-daf38f64477e,data.nhm.ac.uk,BM,Natural History Museum London data portal URI,Supplementary URI signal for already matched voucher.
1003033,Aethomys_chrysophilus,holotype,BMNH:Mamm:1895.11.3.23,yes,https://data.nhm.ac.uk/object/ea736b39-66f4-405f-9e11-37441c33ebf2,data.nhm.ac.uk,BM,Natural History Museum London data portal URI,Supplementary URI signal for already matched voucher.
1003034,Aethomys_hindei,holotype,BMNH:Mamm:1901.12.9.9,yes,https://data.nhm.ac.uk/object/d9fcf77c-b00e-4326-803c-95c733557409,data.nhm.ac.uk,BM,Natural History Museum London data portal URI,Supplementary URI signal for already matched voucher.
1003035,Aethomys_ineptus,holotype,BMNH:Mamm:1908.4.3.73,yes,https://data.nhm.ac.uk/object/de6eff64-3e58-457a-b9dd-4d99b96144ad,data.nhm.ac.uk,BM,Natural History Museum London data portal URI,Supplementary URI signal for already matched voucher.
1003037,Aethomys_nyikae,holotype,BMNH:Mamm:1897.10.1.189,yes,https://data.nhm.ac.uk/object/b9c780aa-3613-4f41-a173-96e0ee0b702d,data.nhm.ac.uk,BM,Natural History Museum London data portal URI,Supplementary URI signal for already matched voucher.
1003039,Aethomys_stannarius,holotype,BMNH:Mamm:1913.2.5.7,yes,https://data.nhm.ac.uk/object/c0b14dd6-9905-465a-91d8-79b7f9a7b476,data.nhm.ac.uk,BM,Natural History Museum London data portal URI,Supplementary URI signal for already matched voucher.
1003040,Aethomys_thomasi,holotype,BMNH:Mamm:1897.8.6.14,yes,https://data.nhm.ac.uk/object/c62d0bb0-2e2f-4597-b896-fee15ee73c8c,data.nhm.ac.uk,BM,Natural History Museum London data portal URI,Supplementary URI signal for already matched voucher.
1005747,Afropipistrellus_crassulus,holotype,BMNH:Mamm:1904.2.8.1,yes,https://data.nhm.ac.uk/object/4ad6cfeb-933e-48e3-a59b-eae3358f0517,data.nhm.ac.uk,BM,Natural History Museum London data portal URI,Supplementary URI signal for already matched voucher.
1005724,Afropipistrellus_musciculus,holotype,BMNH:Mamm:1913.2.8.1,yes,https://data.nhm.ac.uk/object/3996cc57-c65d-462c-b9df-ccd5982ebf9f,data.nhm.ac.uk,BM,Natural History Museum London data portal URI,Supplementary URI signal for already matched voucher.
1000375,Ailurops_melanotis,holotype,BMNH:Mamm:1897.12.6.8,yes,https://data.nhm.ac.uk/object/30423160-1dd3-41dd-9618-723d6ea7b836,data.nhm.ac.uk,BM,Natural History Museum London data portal URI,Supplementary URI signal for already matched voucher.
1000376,Ailurops_ursinus,syntypes,"BMNH:Mamm:1844.3.2.2, BMNH:Mamm:1844.4.10.3, RMNH.MAM.39005, RMNH.MAM.39006, RMNH.MAM.39007, RMNH.MAM.39008, RMNH.MAM.39009",yes,https://data.biodiversitydata.nl/naturalis/specimen/RMNH.MAM.39005 | https://data.biodiversitydata.nl/naturalis/specimen/RMNH.MAM.39006 | https://data.biodiversitydata.nl/naturalis/specimen/RMNH.MAM.39007 | https://data.biodiversitydata.nl/naturalis/specimen/RMNH.MAM.39008 | https://data.biodiversitydata.nl/naturalis/specimen/RMNH.MAM.39009 | https://data.nhm.ac.uk/object/804b9433-39f5-4115-a89a-4a11fb37cd64 | https://data.nhm.ac.uk/object/ff967604-572e-4068-b449-278617312f62,data.nhm.ac.uk,BM,Natural History Museum London data portal URI,Supplementary URI signal for already matched voucher.
1005803,Ailurus_styani,holotype,BMNH:Mamm:1902.6.10.41,yes,https://data.nhm.ac.uk/object/375d98fd-bb64-414e-821a-c8bf19d2e896,data.nhm.ac.uk,BM,Natural History Museum London data portal URI,Supplementary URI signal for already matched voucher.
1002388,Akodon_aerosus,holotype,BMNH:Mamm:1899.9.9.105,yes,https://data.nhm.ac.uk/object/376ac4c5-ee39-45e8-bd9b-71d50688cdc4,data.nhm.ac.uk,BM,Natural History Museum London data portal URI,Supplementary URI signal for already matched voucher.
1002390,Akodon_albiventer,holotype,BMNH:Mamm:1897.5.5.17,yes,https://data.nhm.ac.uk/object/fb63c968-5d1d-4d9a-8cf8-254d5e07adfa,data.nhm.ac.uk,BM,Natural History Museum London data portal URI,Supplementary URI signal for already matched voucher.
1002394,Akodon_budini,holotype,BMNH:Mamm:1918.1.1.44,yes,https://data.nhm.ac.uk/object/90bc5386-1b6e-41f7-8c07-9e18b50db65d,data.nhm.ac.uk,BM,Natural History Museum London data portal URI,Supplementary URI signal for already matched voucher.
1002395,Akodon_caenosus,holotype,BMNH:Mamm:1918.1.1.38,yes,https://data.nhm.ac.uk/object/5891a372-fc04-4a7c-b79f-8be45f5591d3,data.nhm.ac.uk,BM,Natural History Museum London data portal URI,Supplementary URI signal for already matched voucher.
1002398,Akodon_dolores,holotype,BMNH:Mamm:1916.1.6.38,yes,https://data.nhm.ac.uk/object/1a969a9f-3fdd-4d9d-b1e5-ebc43babd7cf,data.nhm.ac.uk,BM,Natural History Museum London data portal URI,Supplementary URI signal for already matched voucher.
1002399,Akodon_fumeus,holotype,BMNH:Mamm:1902.1.1.80,yes,https://data.nhm.ac.uk/object/7fa2cb2f-5f52-4b77-a410-80f886041c75,data.nhm.ac.uk,BM,Natural History Museum London data portal URI,Supplementary URI signal for already matched voucher.
1002400,Akodon_iniscatus,holotype,BMNH:Mamm:1903.7.9.64,yes,https://data.nhm.ac.uk/object/9e7e9b2c-c0ed-4088-ac9e-b139c5a8dcca,data.nhm.ac.uk,BM,Natural History Museum London data portal URI,Supplementary URI signal for already matched voucher.
1002407,Akodon_mimus,holotype,BMNH:Mamm:1901.1.1.48,yes,https://data.nhm.ac.uk/object/b23c9b3c-6b7c-4ab5-b4d3-d4df37cf80bd,data.nhm.ac.uk,BM,Natural History Museum London data portal URI,Supplementary URI signal for already matched voucher.
1002408,Akodon_mollis,holotype,BMNH:Mamm:1885.4.1.49,yes,https://data.nhm.ac.uk/object/2d7e0d69-fc47-4780-beaa-8ac3fa7bcf22,data.nhm.ac.uk,BM,Natural History Museum London data portal URI,Supplementary URI signal for already matched voucher.
1002409,Akodon_montensis,holotype,BMNH:Mamm:1904.1.5.35,yes,https://data.nhm.ac.uk/object/d91a6442-2d63-4ca0-9e46-24f824e72859,data.nhm.ac.uk,BM,Natural History Museum London data portal URI,Supplementary URI signal for already matched voucher.
