sci_name,type_voucher,type_kind,matched_abbreviation,matched_name,review_date,review_outcome,review_note
Microakodontomys_transitorius,MN 25986,holotype,MN,"Museu Nacional, Universidade Federal do Rio de Janeiro",2026-05-20,closed_match_mn,MN prefix matches Museu Nacional UFRJ metadata; no metadata change required.
Monodelphis_pinocchio,MN 78680,holotype,MN,"Museu Nacional, Universidade Federal do Rio de Janeiro",2026-05-20,closed_match_mn,MN prefix matches Museu Nacional UFRJ metadata; no metadata change required.
Neacomys_oliveirai,MN 73854,holotype,MN,"Museu Nacional, Universidade Federal do Rio de Janeiro",2026-05-20,closed_match_mn,MN prefix matches Museu Nacional UFRJ metadata; no metadata change required.
Neoplatymops_mattogrossensis,MN 3597,holotype,MN,"Museu Nacional, Universidade Federal do Rio de Janeiro",2026-05-20,closed_match_mn,MN prefix matches Museu Nacional UFRJ metadata; no metadata change required.
Oecomys_cleberi,MN 24131,holotype,MN,"Museu Nacional, Universidade Federal do Rio de Janeiro",2026-05-20,closed_match_mn,MN prefix matches Museu Nacional UFRJ metadata; no metadata change required.
Oligoryzomys_gri,MN 87921,holotype,MN,"Museu Nacional, Universidade Federal do Rio de Janeiro",2026-05-20,closed_match_mn,MN prefix matches Museu Nacional UFRJ metadata; no metadata change required.
Oligoryzomys_moojeni,MN 50309,holotype,MN,"Museu Nacional, Universidade Federal do Rio de Janeiro",2026-05-20,closed_match_mn,MN prefix matches Museu Nacional UFRJ metadata; no metadata change required.
Oligoryzomys_rupestris,MN 50286,holotype,MN,"Museu Nacional, Universidade Federal do Rio de Janeiro",2026-05-20,closed_match_mn,MN prefix matches Museu Nacional UFRJ metadata; no metadata change required.
Oligoryzomys_stramineus,MN 34439,holotype,MN,"Museu Nacional, Universidade Federal do Rio de Janeiro",2026-05-20,closed_match_mn,MN prefix matches Museu Nacional UFRJ metadata; no metadata change required.
Oxymycterus_caparaoe,MN 31997,holotype,MN,"Museu Nacional, Universidade Federal do Rio de Janeiro",2026-05-20,closed_match_mn,MN prefix matches Museu Nacional UFRJ metadata; no metadata change required.
Phyllomys_kerri,MN 6241,holotype,MN,"Museu Nacional, Universidade Federal do Rio de Janeiro",2026-05-20,closed_match_mn,MN prefix matches Museu Nacional UFRJ metadata; no metadata change required.
Phyllomys_lundi,MN 62392,holotype,MN,"Museu Nacional, Universidade Federal do Rio de Janeiro",2026-05-20,closed_match_mn,MN prefix matches Museu Nacional UFRJ metadata; no metadata change required.
Phyllomys_mantiqueirensis,MN 62393,holotype,MN,"Museu Nacional, Universidade Federal do Rio de Janeiro",2026-05-20,closed_match_mn,MN prefix matches Museu Nacional UFRJ metadata; no metadata change required.
Phyllomys_pattoni,MN 62391,holotype,MN,"Museu Nacional, Universidade Federal do Rio de Janeiro",2026-05-20,closed_match_mn,MN prefix matches Museu Nacional UFRJ metadata; no metadata change required.
Rhagomys_jequitiba,MN 91968,holotype,MN,"Museu Nacional, Universidade Federal do Rio de Janeiro",2026-05-20,closed_match_mn,MN prefix matches Museu Nacional UFRJ metadata; no metadata change required.
Rhipidomys_cariri,MN 10170,holotype,MN,"Museu Nacional, Universidade Federal do Rio de Janeiro",2026-05-20,closed_match_mn,MN prefix matches Museu Nacional UFRJ metadata; no metadata change required.
Rhipidomys_ipukensis,MN 73741,holotype,MN,"Museu Nacional, Universidade Federal do Rio de Janeiro",2026-05-20,closed_match_mn,MN prefix matches Museu Nacional UFRJ metadata; no metadata change required.
Rhipidomys_itoan,MN 63605,holotype,MN,"Museu Nacional, Universidade Federal do Rio de Janeiro",2026-05-20,closed_match_mn,MN prefix matches Museu Nacional UFRJ metadata; no metadata change required.
Rhipidomys_ybyrae,MN 91158,holotype,MN,"Museu Nacional, Universidade Federal do Rio de Janeiro",2026-05-20,closed_match_mn,MN prefix matches Museu Nacional UFRJ metadata; no metadata change required.
Thrichomys_dandreai,MN 93435,holotype,MN,"Museu Nacional, Universidade Federal do Rio de Janeiro",2026-05-20,closed_match_mn,MN prefix matches Museu Nacional UFRJ metadata; no metadata change required.
Trinomys_eliasi,MN 30524,holotype,MN,"Museu Nacional, Universidade Federal do Rio de Janeiro",2026-05-20,closed_match_mn,MN prefix matches Museu Nacional UFRJ metadata; no metadata change required.
Trinomys_gratiosus,MN 4024,holotype,MN,"Museu Nacional, Universidade Federal do Rio de Janeiro",2026-05-20,closed_match_mn,MN prefix matches Museu Nacional UFRJ metadata; no metadata change required.
Trinomys_mirapitanga,MN 31460,holotype,MN,"Museu Nacional, Universidade Federal do Rio de Janeiro",2026-05-20,closed_match_mn,MN prefix matches Museu Nacional UFRJ metadata; no metadata change required.
Trinomys_moojeni,MN 13380,holotype,MN,"Museu Nacional, Universidade Federal do Rio de Janeiro",2026-05-20,closed_match_mn,MN prefix matches Museu Nacional UFRJ metadata; no metadata change required.
Trinomys_paratus,MN 4012,holotype,MN,"Museu Nacional, Universidade Federal do Rio de Janeiro",2026-05-20,closed_match_mn,MN prefix matches Museu Nacional UFRJ metadata; no metadata change required.
Wiedomys_cerradensis,MN 67022,holotype,MN,"Museu Nacional, Universidade Federal do Rio de Janeiro",2026-05-20,closed_match_mn,MN prefix matches Museu Nacional UFRJ metadata; no metadata change required.
