MDDv2.3_Name,MDDv2.4_Name,Comment,Category,Reference
Nannospalax_ehrenbergi,Nannospalax_intermedius,split from N. ehrenbergi,split,"Kankılıç, T., Tatyüz, İ., Yürümez, G., Kankılıç, T., Köse, B., Coşkun, Y., & Civelek, İ. 2026. Taxonomic revision of the _Nannospalax ehrenbergi_ species complex (Rodentia: Spalacidae) in Anatolian Peninsula, with description of three new species. Zoologischer Anzeiger 321:16-37."
Ratufa_bicolor,Ratufa_gigantea,split from R. bicolor,split,"Hinckley, A., Pinilla‐Buitrago, G. E., Maldonado, J. E., Flores, M. F. C., Esselstyn, J. A., Inayah, N., & Hawkins, M. T. (2025). Pliocene Forest Fragmentation Shaped Speciation in Tropical Asia's Giant Squirrels (Ratufa). Molecular Ecology, e70179."
Thylamys_pusillus,Thylamys_bruchi,split from T. pusillus,split,"Martin, G.M. 2025. A chronology of the genus _Thylamys_ (Didelphidae, Thylamyini), with emphasis on the forms occurring in Argentina. Revista del Museo Argentino de Ciencias Naturales (n.s.)27(2):243-270. doi:10.22179/REVMACN.27.894"
Thylamys_pusillus,Thylamys_citellus,split from T. pusillus,split,"Martin, G.M. 2025. A chronology of the genus _Thylamys_ (Didelphidae, Thylamyini), with emphasis on the forms occurring in Argentina. Revista del Museo Argentino de Ciencias Naturales (n.s.)27(2):243-270. doi:10.22179/REVMACN.27.894"
Thylamys_pusillus,Thylamys_pulchellus,split from T. pusillus,split,"Martin, G.M. 2025. A chronology of the genus _Thylamys_ (Didelphidae, Thylamyini), with emphasis on the forms occurring in Argentina. Revista del Museo Argentino de Ciencias Naturales (n.s.)27(2):243-270. doi:10.22179/REVMACN.27.894"
NA,Cricetodipus,new subgenus within Perognathus,subgenus change,"Alhajeri, B. H., Alaqeely, R., & Alhaddad, H. (2025). Geometric morphometrics of silky pocket mice (Perognathus: Perognathinae: Rodentia) crania reveals new insights into their variation, evolution, and taxonomy. Zoological Journal of the Linnean Society, 203(1), zlae029."
NA,Mesospalax,newly recognized subgenus within Nannospalax,subgenus change,"Kankılıç, T., Tatyüz, İ., Yürümez, G., Kankılıç, T., Köse, B., Coşkun, Y., & Civelek, İ. 2026. Taxonomic revision of the _Nannospalax ehrenbergi_ species complex (Rodentia: Spalacidae) in Anatolian Peninsula, with description of three new species. Zoologischer Anzeiger 321:16-37."
NA,Microdipodops,newly recognized subgenus within Microdipodops,subgenus change,"Hafner, J.C., Upham, N.S., Gowen-Huang, F., and Light, J.E. 2025. Cryptic species and taxonomic revision of kangaroo mice, the rodent genus Microdipodops. Journal of Mammalogy 106(6):1342-1371."
NA,Nannospalax,newly recognized subgenus within Nannospalax,subgenus change,"Kankılıç, T., Tatyüz, İ., Yürümez, G., Kankılıç, T., Köse, B., Coşkun, Y., & Civelek, İ. 2026. Taxonomic revision of the _Nannospalax ehrenbergi_ species complex (Rodentia: Spalacidae) in Anatolian Peninsula, with description of three new species. Zoologischer Anzeiger 321:16-37."
NA,Perognathus,new subgenus within Perognathus,subgenus change,"Alhajeri, B. H., Alaqeely, R., & Alhaddad, H. (2025). Geometric morphometrics of silky pocket mice (Perognathus: Perognathinae: Rodentia) crania reveals new insights into their variation, evolution, and taxonomy. Zoological Journal of the Linnean Society, 203(1), zlae029."
NA,Psammophilomys ,newly recognized subgenus within Microdipodops,subgenus change,"Hafner, J.C., Upham, N.S., Gowen-Huang, F., and Light, J.E. 2025. Cryptic species and taxonomic revision of kangaroo mice, the rodent genus Microdipodops. Journal of Mammalogy 106(6):1342-1371."
NA,Chinchillulini,recently described to include Chinchillula,tribal change,"Bangs, M. R., Percequillo, A. R., Pacheco, V., & Steppan, S. J. (2025). Phylogenomics of sigmodontine rodents (Cricetidae: Sigmodontinae): Cloud forests and Pliocene extinction explain the timing and spread of an iconic South American radiation. PloS one, 20(11), e0317165."
NA,Delomyini,recently described to include Delomys,tribal change,"Bangs, M. R., Percequillo, A. R., Pacheco, V., & Steppan, S. J. (2025). Phylogenomics of sigmodontine rodents (Cricetidae: Sigmodontinae): Cloud forests and Pliocene extinction explain the timing and spread of an iconic South American radiation. PloS one, 20(11), e0317165."
