sci_name,type_voucher
Lemniscomys_roseveari,KM 6396
Galea_tixiensis,LARQ 123
Mesocricetus_newtoni,LHB (number not known)
Nannospalax_hungaricus,LHB (number not known)
Spalax_giganteus,LHB (number not known)
Ctenomys_terraplen,LIEB-M-1726
Ctenomys_plebiscitum,LIEB-M-1734
Presbytis_bicolor,LSNSAU SD 16
Xanthonycticebus_intermedius,LZH 069
Trachypithecus_hatinhensis,LZH 28
Lepus_saharae,"Laâyoune REF 021/2019 Awserd, Laâyoune REF 022/2019 Awserd"
Talpa_europaea,LinnMus type #115
Sciurus_vulgaris,LinnMus type #121
Crocidura_nigricans,MBL (number not known)
Crocidura_canariensis,MCLPGC ? (= ZFMK:Mamm:1986.75)
Calassomys_apicalis,MCNPUC 2785
Juliomys_ximenezi,MCNU 868
Noronhomys_vespuccii,MCP 3460-PV
Sciurus_meridionalis,MF 11481
Crocidura_greenwoodi,MF 2881
Huetia_tytonis,MF 4181
Rhinolophus_blasii,"MF 4742, SNMBR N 39345, ZMB 557"
Microtus_savii,MF 6062
Elephas_maximus,MF 734
Molossus_paranaensis,MFA-ZV-M 1494
Molossus_melini,MGR-ZV-M 339
Ctenomys_paraguayensis,MHNJSL MZ-00015
Pipistrellus_inexspectatus,MHNLCF (number not known)
Mazama_tschudii,MHNSAAC 008-My
Neoeptesicus_orinocensis,MHNUCa 2930
Coendou_vossi,MHNUCa M 3432
Cuniculus_taczanowskii,MIZ 77780
Myonycteris_brachycephala,MLZA 449a
Mus_macedonicus,MMNH M-272-4/82
Ctenomys_scagliai,MMP 2926
Dendrolagus_dorianus,"MMUS M.376, MMUS M.377, MMUS M.378"
Petrogale_assimilis,MMUS M.422
Dorcopsulus_macleayi,MMUS M381
Isoodon_auratus,MMUS M468
Rhipidomys_cariri,MN 10170
Trinomys_moojeni,MN 13380
Cryptonanus_agricolai,MN 1495
Ctenomys_bicolor,MN 2025
Ctenomys_rondoni,MN 2051
Gyldenstolpia_planaltensis,MN 21300
Kerodon_acrobata,MN 22729
Juscelinomys_candango,MN 23870
Oecomys_cleberi,MN 24131
Microakodontomys_transitorius,MN 25986
Mico_marcai,MN 2856
Leontopithecus_caissara,MN 28861
Trinomys_eliasi,MN 30524
Trinomys_mirapitanga,MN 31460
Akodon_mystax,MN 31910
Oxymycterus_caparaoe,MN 31997
Brucepattersonius_griserufescens,MN 32016
Oligoryzomys_stramineus,MN 34439
Cerradomys_vivoi,MN 35898
Neoplatymops_mattogrossensis,MN 3597
Trinomys_paratus,MN 4012
Trinomys_gratiosus,MN 4024
Hylaeamys_seuanezi,MN 42678
Cerradomys_scotti,MN 44176
Cerradomys_maracajuensis,MN 44178
Oligoryzomys_rupestris,MN 50286
Oligoryzomys_moojeni,MN 50309
Juliomys_rimofrons,MN 61647
Phyllomys_pattoni,MN 62391
Phyllomys_lundi,MN 62392
Phyllomys_mantiqueirensis,MN 62393
Phyllomys_kerri,MN 6241
Calomys_tocantinsi,MN 62733
Rhipidomys_itoan,MN 63605
Cerradomys_marinhus,MN 63830
Wiedomys_cerradensis,MN 67022
Cacajao_hosomi,MN 68613
Cacajao_melanocephalus,MN 68616
Delomys_altimontanus,MN 69746
Juliomys_ossitenuis,MN 69752
Cerradomys_langguthi,MN 69786
Calomys_cerqueirai,MN 71971
Coendou_speratus,MN 72045
Cerradomys_goytaca,MN 73177
Coendou_prehensilis,MN 73383
Rhipidomys_ipukensis,MN 73741
Neacomys_oliveirai,MN 73854
Monodelphis_pinocchio,MN 78680
Cerradomys_akroai,MN 80491
Oligoryzomys_gri,MN 87921
Rhipidomys_ybyrae,MN 91158
Rhagomys_jequitiba,MN 91968
Thrichomys_dandreai,MN 93435
Abrawayaomys_ruschii,MN-UFRJ 23075
