sci_name,type_voucher
Erythrocebus_patas,untraced (number not known)
Eulemur_albifrons,untraced (number not known)
Eulemur_fulvus,untraced (number not known)
Eulemur_macaco,untraced (number not known)
Felis_chaus,untraced (number not known)
Felis_nigripes,untraced (number not known)
Felis_silvestris,untraced (number not known)
Galictis_cuja,untraced (number not known)
Galictis_vittata,untraced (number not known)
Galidictis_fasciata,untraced (number not known)
Gazella_dorcas,untraced (number not known)
Gazella_gazella,untraced (number not known)
Gazella_subgutturosa,untraced (number not known)
Genetta_tigrina,untraced (number not known)
Geomys_bursarius,untraced (number not known)
Gerbillus_stigmonyx,untraced (number not known)
Giraffa_giraffa,untraced (number not known)
Glossophaga_soricina,untraced (number not known)
Hemicentetes_semispinosus,untraced (number not known)
Hippocamelus_bisulcus,untraced (number not known)
Hipposideros_crumeniferus,untraced (number not known)
Hipposideros_speoris,untraced (number not known)
Hippotragus_equinus,untraced (number not known)
Hydrodamalis_gigas,untraced (number not known)
Hystrix_brachyura,untraced (number not known)
Hystrix_cristata,untraced (number not known)
Hystrix_javanica,untraced (number not known)
Ictidomys_tridecemlineatus,untraced (number not known)
Indri_indri,untraced (number not known)
Kobus_kob,untraced (number not known)
Lama_guanicoe,untraced (number not known)
Lama_vicugna,untraced (number not known)
Lasiurus_borealis,untraced (number not known)
Lasiurus_cinereus,untraced (number not known)
Lemniscomys_barbarus,untraced (number not known)
Leopardus_guigna,untraced (number not known)
Leopardus_pardalis,untraced (number not known)
Leopardus_tigrinus,untraced (number not known)
Leporillus_conditor,untraced (number not known)
Leptailurus_serval,untraced (number not known)
Lepus_americanus,untraced (number not known)
Lepus_europaeus,untraced (number not known)
Lepus_tolai,untraced (number not known)
Lontra_canadensis,untraced (number not known)
Lontra_felina,untraced (number not known)
Loxodonta_africana,untraced (number not known)
Lupulella_mesomelas,untraced (number not known)
Lutreolina_crassicaudata,untraced (number not known)
Lycalopex_culpaeus,untraced (number not known)
Lynx_canadensis,untraced (number not known)
Lynx_lynx,untraced (number not known)
Lynx_rufus,untraced (number not known)
Macaca_sinica,untraced (number not known)
Macrophyllum_macrophyllum,untraced (number not known)
Martes_americana,untraced (number not known)
Martes_flavigula,untraced (number not known)
Mellivora_capensis,untraced (number not known)
Melursus_ursinus,untraced (number not known)
Mephitis_mephitis,untraced (number not known)
Microtus_lusitanicus,untraced (number not known)
Miniopterus_fuliginosus,untraced (number not known)
Mogera_imaizumii,untraced (number not known)
Monodelphis_americana,untraced (number not known)
Mops_condylurus,untraced (number not known)
Moschiola_meminna,untraced (number not known)
Mungos_mungo,untraced (number not known)
Muntiacus_muntjak,untraced (number not known)
Muntiacus_vaginalis,untraced (number not known)
Murina_puta,untraced (number not known)
Mustela_lutreola,untraced (number not known)
Mustela_nivalis,untraced (number not known)
Mustela_sibirica,untraced (number not known)
Myotis_myotis,untraced (number not known)
Myotis_sibiricus,untraced (number not known)
Myrmecobius_fasciatus,untraced (number not known)
Nanger_dama,untraced (number not known)
Nasua_narica,untraced (number not known)
Neogale_vison,untraced (number not known)
Notamacropus_dorsalis,untraced (number not known)
Nyctalus_lasiopterus,untraced (number not known)
Nyctalus_noctula,untraced (number not known)
Nycticebus_coucang,untraced (number not known)
Ochotona_dauurica,untraced (number not known)
Ochotona_pusilla,untraced (number not known)
Odocoileus_virginianus,untraced (number not known)
Oreotragus_oreotragus,untraced (number not known)
Oryx_leucoryx,untraced (number not known)
Otocolobus_manul,untraced (number not known)
Ourebia_ourebi,untraced (number not known)
Ovibos_moschatus,untraced (number not known)
Pan_troglodytes,untraced (number not known)
Panthera_leo,untraced (number not known)
Panthera_onca,untraced (number not known)
Panthera_pardus,untraced (number not known)
Panthera_tigris,untraced (number not known)
Panthera_uncia,untraced (number not known)
Papio_cynocephalus,untraced (number not known)
Papio_hamadryas,untraced (number not known)
Papio_ursinus,untraced (number not known)
Paradoxurus_hermaphroditus,untraced (number not known)
Paradoxurus_zeylonensis,untraced (number not known)
Passalites_nemorivagus,untraced (number not known)
Pekania_pennanti,untraced (number not known)
Pelea_capreolus,untraced (number not known)
Petauroides_volans,untraced (number not known)
Petaurus_australis,untraced (number not known)
Petaurus_norfolcensis,untraced (number not known)
Petrogale_penicillata,untraced (number not known)
Phacochoerus_aethiopicus,untraced (number not known)
Phacochoerus_africanus,untraced (number not known)
Phalanger_orientalis,untraced (number not known)
Phascolarctos_cinereus,untraced (number not known)
Phataginus_tetradactylus,untraced (number not known)
Philantomba_monticola,untraced (number not known)
Phyllostomus_hastatus,untraced (number not known)
Plecotus_austriacus,untraced (number not known)
Prionailurus_bengalensis,untraced (number not known)
Procyon_cancrivorus,untraced (number not known)
Propithecus_edwardsi,untraced (number not known)
Proteles_cristatus,untraced (number not known)
Pteropus_niger,untraced (number not known)
Pteropus_pelagicus,untraced (number not known)
Pteropus_rufus,untraced (number not known)
Pteropus_subniger,untraced (number not known)
Pteropus_vetulus,untraced (number not known)
Rangifer_tarandus,untraced (number not known)
Rattus_losea,untraced (number not known)
Redunca_arundinum,untraced (number not known)
Redunca_redunca,untraced (number not known)
Rhinolophus_ferrumequinum,untraced (number not known)
Rhinolophus_hipposideros,untraced (number not known)
Rhinolophus_subbadius,untraced (number not known)
Rusa_unicolor,untraced (number not known)
Saiga_tatarica,untraced (number not known)
Sapajus_apella,untraced (number not known)
Sapajus_nigritus,untraced (number not known)
Sapajus_robustus,untraced (number not known)
Scalopus_aquaticus,untraced (number not known)
Semnopithecus_vetulus,untraced (number not known)
Setifer_setosus,untraced (number not known)
Sorex_arcticus,untraced (number not known)
Sorex_cinereus,untraced (number not known)
Spermophilus_suslicus,untraced (number not known)
Submyotodon_latirostris,untraced (number not known)
Suricata_suricatta,untraced (number not known)
Sus_domesticus,untraced (number not known)
Tachyglossus_aculeatus,untraced (number not known)
Tayassu_pecari,untraced (number not known)
Tenrec_ecaudatus,untraced (number not known)
Thylacinus_cynocephalus,untraced (number not known)
Tragelaphus_oryx,untraced (number not known)
Tragelaphus_scriptus,untraced (number not known)
Tragelaphus_strepsiceros,untraced (number not known)
Tragelaphus_sylvaticus,untraced (number not known)
Tragulus_javanicus,untraced (number not known)
Trichechus_manatus,untraced (number not known)
Trichechus_senegalensis,untraced (number not known)
Trichosurus_vulpecula,untraced (number not known)
Tupaia_glis,untraced (number not known)
Urocyon_cinereoargenteus,untraced (number not known)
Ursus_americanus,untraced (number not known)
Ursus_maritimus,untraced (number not known)
Varecia_variegata,untraced (number not known)
Vombatus_ursinus,untraced (number not known)
Vormela_peregusna,untraced (number not known)
Vulpes_corsac,untraced (number not known)
Vulpes_zerda,untraced (number not known)
Wallabia_bicolor,untraced (number not known)
Crocidura_religiosa,ÄM 690
Dinaromys_longipedis,Đulić 486
