sci_name,sci_name_space,main_common_name,order,family,genus,type_voucher,type_kind,type_locality,type_lat,type_lon,museum_full_name,museum_city,museum_country,institution_code,confidence,source_url
Rhipidomys_cariri,Rhipidomys cariri,Cariri Climbing Rat,Rodentia,Cricetidae,Rhipidomys,MN 10170,holotype,"Crato, Ceará, Brazil.",-7.233333333333333,-39.38333333333333,"Museu Nacional, Universidade Federal do Rio de Janeiro",Rio de Janeiro,Brazil,MN (MNRJ),Hög,https://digitallibrary.amnh.org/server/api/core/bitstreams/9864b9ec-11a5-4018-819e-59f4053bc3ab/content; https://obis.org/institute/13167
Rhipidomys_ipukensis,Rhipidomys ipukensis,Ipuca Climbing Rat,Rodentia,Cricetidae,Rhipidomys,MN 73741,holotype,"Fazenda Lago Verde, Tocantins, Brazil.",-10.8667,-49.68333,"Museu Nacional, Universidade Federal do Rio de Janeiro",Rio de Janeiro,Brazil,MN (MNRJ),Hög,https://digitallibrary.amnh.org/server/api/core/bitstreams/9864b9ec-11a5-4018-819e-59f4053bc3ab/content; https://obis.org/institute/13167
Rhipidomys_itoan,Rhipidomys itoan,Sky Climbing Rat,Rodentia,Cricetidae,Rhipidomys,MN 63605,holotype,"Garrafão, 700 m, Parque Nacional da Serra dos Órgãos, Rio de Janeiro, Brazil.",-22.4667,-42.98333,"Museu Nacional, Universidade Federal do Rio de Janeiro",Rio de Janeiro,Brazil,MN (MNRJ),Hög,https://digitallibrary.amnh.org/server/api/core/bitstreams/9864b9ec-11a5-4018-819e-59f4053bc3ab/content; https://obis.org/institute/13167
Rhipidomys_ybyrae,Rhipidomys ybyrae,Ybyra Climbing Rat,Rodentia,Cricetidae,Rhipidomys,MN 91158,holotype,"""Brazil, Mato Grosso state, São José do Xingu municipality, fazenda São Luís.""",-10.689479,-52.904696,"Museu Nacional, Universidade Federal do Rio de Janeiro",Rio de Janeiro,Brazil,MN (MNRJ),Hög,https://digitallibrary.amnh.org/server/api/core/bitstreams/9864b9ec-11a5-4018-819e-59f4053bc3ab/content; https://obis.org/institute/13167
Thrichomys_dandreai,Thrichomys dandreai,D’Andrea's Punare,Rodentia,Echimyidae,Thrichomys,MN 93435,holotype,"""Brazil: Mato Grosso state, Chapada dos Guimarães, Cuiabá municipality, foothills of Morro do Cambambe (Figs. 1, S8, supplementary information 2); geographic coordinates: 15°11'44.58""S 55°58'17.76""W.""",-15.195716666666668,-55.9716,"Museu Nacional, Universidade Federal do Rio de Janeiro",Rio de Janeiro,Brazil,MN (MNRJ),Hög,https://digitallibrary.amnh.org/server/api/core/bitstreams/9864b9ec-11a5-4018-819e-59f4053bc3ab/content; https://obis.org/institute/13167
Trinomys_eliasi,Trinomys eliasi,Elias's Spiny-rat,Rodentia,Echimyidae,Trinomys,MN 30524,holotype,"""Restinga da Barra de Maricá (22°31'S, 47°17'W), Município de Maricá, Rio de Janeiro, Brazil.""",-22.5167,-47.2833,"Museu Nacional, Universidade Federal do Rio de Janeiro",Rio de Janeiro,Brazil,MN (MNRJ),Hög,https://digitallibrary.amnh.org/server/api/core/bitstreams/9864b9ec-11a5-4018-819e-59f4053bc3ab/content; https://obis.org/institute/13167
Trinomys_gratiosus,Trinomys gratiosus,Gracile Atlantic Spiny-rat,Rodentia,Echimyidae,Trinomys,MN 4024,holotype,"""Floresta da Caixa Dagua, Santa Teresa, Espírito Santo, Brazil; altitude 750 meters.""",,,"Museu Nacional, Universidade Federal do Rio de Janeiro",Rio de Janeiro,Brazil,MN (MNRJ),Hög,https://digitallibrary.amnh.org/server/api/core/bitstreams/9864b9ec-11a5-4018-819e-59f4053bc3ab/content; https://obis.org/institute/13167
Trinomys_mirapitanga,Trinomys mirapitanga,Pau Brasil Spiny-rat,Rodentia,Echimyidae,Trinomys,MN 31460,holotype,"""Estação Ecológica do Pau Brasil, 16 km W Porto Seguro, Bahia, Brazil, 16°22'S 39°11'W, 40 m alt.""",-16.4,-39.1833,"Museu Nacional, Universidade Federal do Rio de Janeiro",Rio de Janeiro,Brazil,MN (MNRJ),Hög,https://digitallibrary.amnh.org/server/api/core/bitstreams/9864b9ec-11a5-4018-819e-59f4053bc3ab/content; https://obis.org/institute/13167
Trinomys_moojeni,Trinomys moojeni,Moojen's Spiny-rat,Rodentia,Echimyidae,Trinomys,MN 13380,holotype,"""Mata do Dr. Daniel, Conceição do Mato Dentro, Minas Gerais, Brazil; 19° 01'S, 43° 25'W.""",-19.0167,-43.4167,"Museu Nacional, Universidade Federal do Rio de Janeiro",Rio de Janeiro,Brazil,MN (MNRJ),Hög,https://digitallibrary.amnh.org/server/api/core/bitstreams/9864b9ec-11a5-4018-819e-59f4053bc3ab/content; https://obis.org/institute/13167
Trinomys_paratus,Trinomys paratus,Rigid-spined Atlantic Spiny-rat,Rodentia,Echimyidae,Trinomys,MN 4012,holotype,"""Floresta da Capela de São Braz, Santa Teresa, Espírito Santo, Brasil; altitude 630 meters.""",,,"Museu Nacional, Universidade Federal do Rio de Janeiro",Rio de Janeiro,Brazil,MN (MNRJ),Hög,https://digitallibrary.amnh.org/server/api/core/bitstreams/9864b9ec-11a5-4018-819e-59f4053bc3ab/content; https://obis.org/institute/13167
Wiedomys_cerradensis,Wiedomys cerradensis,Cerrado Red-nosed Mouse,Rodentia,Cricetidae,Wiedomys,MN 67022,holotype,"Fazenda Sertão do Formoso, Jaborandi, Bahia, Brazil.",-14.6167,-45.85,"Museu Nacional, Universidade Federal do Rio de Janeiro",Rio de Janeiro,Brazil,MN (MNRJ),Hög,https://digitallibrary.amnh.org/server/api/core/bitstreams/9864b9ec-11a5-4018-819e-59f4053bc3ab/content; https://obis.org/institute/13167
