sci_name,type_voucher
Ratufa_indica,lost (number not known)
Sciurillus_pusillus,Buffon's specimen
Petaurillus_kinlochii,lost (number not known)
Petinomys_fuscocapillus,lost (number not known)
Petinomys_mindanensis,"PBS 223, PBS 224"
Biswamoyopterus_laoensis,FES.MM.12.163
Sciurus_granatensis,lost (number not known)
Sciurus_griseus,lost (number not known)
Sciurus_vulgaris,LinnMus type #121
Ictidomys_tridecemlineatus,untraced (number not known)
Spermophilus_citellus,lost (number not known)
Spermophilus_nilkaensis,NMU 8603
Spermophilus_suslicus,untraced (number not known)
Geomys_bursarius,untraced (number not known)
Dipodomys_agilis,lost (number not known)
Allactodipus_bobrinskii,"Tashkent 401, Tashkent 402"
Scarturus_heptneri,ASRU 424
Chimaerodipus_auritus,UMRCNRS XJ0309BH03
Zapus_hudsonius,lost (number not known)
Calomyscus_tsolovi,CZUS III.53.1
Chionomys_lasistanius,Neuhäuser collection 2231
Microtus_lusitanicus,untraced (number not known)
Dicrostonyx_hudsonius,untraced (number not known)
Dinaromys_longipedis,Đulić 486
Onychomys_leucogaster,lost (number not known)
Peromyscus_californicus,lost (number not known)
Akodon_boliviensis,untraced (number not known)
Bibimys_torresi,CFA-MA-5067
Cordimus_hooijeri,RGM.444360
Holochilus_oxe,MUFAL 00023
Megalomys_camerhogne,GNMG A1-E-10-F1.S2
Neacomys_serranensis,UIS:M:1608
Noronhomys_vespuccii,MCP 3460-PV
Oligoryzomys_brendae,CFA-MA-00482
Oryzomys_palustris,lost (number not known)
Calassomys_apicalis,MCNPUC 2785
Eligmodontia_typus,untraced (number not known)
Sigmodon_hispidus,lost (number not known)
Aepeomys_reigi,CVUSB-928
Rhipidomys_ochoagrateroli,MZUCV 977
Juliomys_ximenezi,MCNU 868
Gerbillus_stigmonyx,untraced (number not known)
Meriones_dahli,Yerevan 5504-8
Gerbilliscus_brantsii,lost (number not known)
Tokudaia_osimensis,Abe (unnumbered)
Lemniscomys_barbarus,untraced (number not known)
Chiropodomys_gliroides,lost (number not known)
Leporillus_apicalis,lost (number not known)
Leporillus_conditor,untraced (number not known)
Pseudomys_higginsi,lost (number not known)
Hadromys_yunnanensis,EPIY CRIED 01980
Millardia_kondana,VRC AC 291
Mus_macedonicus,MMNH M-272-4/82
Otomys_sungae,Bohmann collection 582
Otomys_zinki,Bohmann collection 548
Chiromyscus_langbianis,CBK 3556
Leopoldamys_hainanensis,GIE 0627
Nesokia_bunnii,NHRC 75-105-78
Paulamys_naso,RGM (number not known)
Rattus_losea,untraced (number not known)
Rattus_norvegicus,lost (number not known)
Rattus_rattus,lost (number not known)
Vernaya_foramena,CWNU 75003
Brachyuromys_ramirohitra,lost (number not known)
Crocidura_ansellorum,NMZ 3675
Crocidura_canariensis,MCLPGC ? (= ZFMK:Mamm:1986.75)
Crocidura_fingui,MUHNAC/MB01/006000
Crocidura_glassi,Stillwater 2107/5151
Crocidura_hikmiya,WHT 6845
Crocidura_hutanis,IZEA 4426
Crocidura_nigricans,MBL (number not known)
Crocidura_ramona,TAU M-9342
Crocidura_religiosa,ÄM 690
Crocidura_tadae,untraced (number not known)
Diplomesodon_sonnerati,Specimen illustrated by Sonnerat
Blarina_brevicauda,FHSM 37241
Sorex_arcticus,untraced (number not known)
Sorex_cinereus,untraced (number not known)
Sorex_cruzi,UNAH 20180722
Parascalops_breweri,lost (number not known)
Scalopus_aquaticus,untraced (number not known)
Euroscaptor_darwini,IBVAST NTS.2024.PL.01
Mogera_imaizumii,untraced (number not known)
Talpa_europaea,LinnMus type #115
Uropsilus_funiushanensis,IBE 00300
Nycteris_parisii,lost (number not known)
Mystacina_tuberculata,lost (number not known)
Diphylla_ecaudata,lost (number not known)
Anoura_peruana,untraced (number not known)
Glossophaga_soricina,untraced (number not known)
Macrophyllum_macrophyllum,untraced (number not known)
Trachops_cirrhosus,lost (number not known)
Phyllostomus_hastatus,untraced (number not known)
Thyroptera_tricolor,lost (number not known)
Miniopterus_fuliginosus,untraced (number not known)
Miniopterus_villiersi,IFAN 54-1-1
Miniopterus_wilsoni,JAG 444
Cynomops_kuizha,UV 2451
Molossus_melini,MGR-ZV-M 339
Molossus_molossus,larger specimen of Daubenton
Mops_condylurus,untraced (number not known)
Murina_beibengensis,XZ2024037
Murina_chayuensis,XZ2023107
Murina_hkakaboraziensis,UMaZC PS160218.6
Murina_liboensis,GUNU 20160727022
Murina_medogensis,XZ2024038
Murina_milinensis,XZ2023010
Murina_puta,untraced (number not known)
Murina_tubinaris,lost (number not known)
Murina_yadongensis,XZ2023082
Myotis_californicus,lost (number not known)
Myotis_leibii,lost (number not known)
Myotis_myotis,untraced (number not known)
Myotis_sibiricus,untraced (number not known)
Submyotodon_latirostris,untraced (number not known)
Perimyotis_subflavus,lost (number not known)
Lasiurus_borealis,untraced (number not known)
Lasiurus_cinereus,untraced (number not known)
Cnephaeus_hottentotus,untraced (number not known)
Cnephaeus_kobayashii,untraced (number not known)
Cnephaeus_serotinus,untraced (number not known)
Eptesicus_fuscus,untraced (number not known)
Nyctalus_lasiopterus,untraced (number not known)
Nyctalus_noctula,untraced (number not known)
Pipistrellus_inexspectatus,MHNLCF (number not known)
Barbastella_barbastellus,untraced (number not known)
Corynorhinus_rafinesquii,untraced (number not known)
Corynorhinus_townsendii,untraced (number not known)
Plecotus_auritus,lost (number not known)
Plecotus_austriacus,untraced (number not known)
Plecotus_kolombatovici,UZDZ 3007
Scotophilus_nigrita,lost (number not known)
Chalinolobus_tuberculatus,lost (number not known)
Cynopterus_sphinx,lost (number not known)
Megaerops_niphanae,TISTR 688
Eidolon_helvum,lost (number not known)
Myonycteris_brachycephala,MLZA 449a
Aproteles_bulmerae,K-EE-12-31
Dobsonia_emersa,NAMRU 5605
Macroglossus_minimus,lost (number not known)
Pteropus_niger,untraced (number not known)
Pteropus_pelagicus,untraced (number not known)
Pteropus_rufus,untraced (number not known)
Pteropus_subniger,untraced (number not known)
Pteropus_vetulus,untraced (number not known)
Hipposideros_crumeniferus,untraced (number not known)
Hipposideros_speoris,untraced (number not known)
Rhinolophus_ferrumequinum,untraced (number not known)
Rhinolophus_hilli,ZMUZ 126639
Rhinolophus_hipposideros,untraced (number not known)
Rhinolophus_subbadius,untraced (number not known)
Phataginus_tetradactylus,untraced (number not known)
Conepatus_chinga,untraced (number not known)
Conepatus_semistriatus,untraced (number not known)
Mephitis_mephitis,untraced (number not known)
Spilogale_interrupta,lost (number not known)
Spilogale_putorius,lost (number not known)
Martes_americana,untraced (number not known)
Martes_flavigula,untraced (number not known)
Pekania_pennanti,untraced (number not known)
Melogale_cucphuongensis,EPRC (no number given)
Vormela_peregusna,untraced (number not known)
Galictis_cuja,untraced (number not known)
Galictis_vittata,untraced (number not known)
Lontra_canadensis,untraced (number not known)
Lontra_felina,untraced (number not known)
Pteronura_brasiliensis,specimen described by Barrère
Arctonyx_albogularis,untraced (number not known)
Mellivora_capensis,untraced (number not known)
Mustela_lutreola,untraced (number not known)
Mustela_nivalis,untraced (number not known)
Mustela_sibirica,untraced (number not known)
Neogale_vison,untraced (number not known)
Taxidea_taxus,lost (number not known)
Nasua_narica,untraced (number not known)
Nasua_nasua,lost (number not known)
Potos_flavus,Pennant's specimen of _Potos flavus_
Procyon_cancrivorus,untraced (number not known)
Odobenus_rosmarus,lost (number not known)
Arctocephalus_australis,lost (number not known)
Arctocephalus_forsteri,lost (number not known)
Arctocephalus_philippii,lost (number not known)
Arctocephalus_pusillus,lost (number not known)
Callorhinus_ursinus,lost (number not known)
Eumetopias_jubatus,lost (number not known)
Neophoca_cinerea,lost (number not known)
Zalophus_californianus,lost (number not known)
Monachus_monachus,lost (number not known)
Cystophora_cristata,lost (number not known)
Erignathus_barbatus,lost (number not known)
Histriophoca_fasciata,lost (number not known)
Pagophilus_groenlandicus,lost (number not known)
