sci_name,type_voucher,voucher_prefix,matched_abbreviation,issue
Antechinus_godmani,BMNH:Mamm:1922.12.18.46,BMNH:MAMM:1922.12.18.46,BMNH,prefix_missing_from_metadata
Antechinus_mimetes,BMNH:Mamm:1924.10.1.1,BMNH:MAMM:1924.10.1.1,BMNH,prefix_missing_from_metadata
Antechinus_minimus,MNHN-ZM-MO-1987-233 (= MNHN:AGal:192a) (= MNHN:NGal:381) (= MNHN:type:628),MNHN-ZM-MO-1987-233,MNHN,prefix_missing_from_metadata
Antechinus_swainsonii,"BMNH:Mamm:1860.1.5.18, BMNH:Mamm:1860.1.5.26","BMNH:MAMM:1860.1.5.18,",BMNH,prefix_missing_from_metadata
Murexia_aspera,BMNH:Mamm:1913.6.18.90,BMNH:MAMM:1913.6.18.90,BMNH,prefix_missing_from_metadata
Murexia_longicaudata,RMNH.MAM.35135,RMNH.MAM.35135,RMNH,prefix_missing_from_metadata
Murexia_murex,BMNH:Mamm:1912.2.4.1,BMNH:MAMM:1912.2.4.1,BMNH,prefix_missing_from_metadata
Murexia_naso,RMNH.MAM.35134,RMNH.MAM.35134,RMNH,prefix_missing_from_metadata
Murexia_rothschildi,BMNH:Mamm:1939.3233,BMNH:MAMM:1939.3233,BMNH,prefix_missing_from_metadata
Phascogale_calurus,"BMNH:Mamm:1844.10.15.1, BMNH:Mamm:1844.7.9.9","BMNH:MAMM:1844.10.15.1,",BMNH,prefix_missing_from_metadata
Phascogale_pirata,BMNH:Mamm:1904.1.3.100,BMNH:MAMM:1904.1.3.100,BMNH,prefix_missing_from_metadata
Planigale_ingrami,BMNH:Mamm:1906.3.9.77,BMNH:MAMM:1906.3.9.77,BMNH,prefix_missing_from_metadata
Planigale_maculata,BMNH:Mamm:1853.10.22.21,BMNH:MAMM:1853.10.22.21,BMNH,prefix_missing_from_metadata
Antechinomys_laniger,"BMNH:Mamm:1847.12.4.5, BMNH:Mamm:1847.8.14.22","BMNH:MAMM:1847.12.4.5,",BMNH,prefix_missing_from_metadata
Antechinomys_spenceri,BMNH:Mamm:1897.11.3.12,BMNH:MAMM:1897.11.3.12,BMNH,prefix_missing_from_metadata
Sminthopsis_crassicaudata,"BMNH:Mamm:1844.10.15.4, BMNH:Mamm:1844.7.9.10","BMNH:MAMM:1844.10.15.4,",BMNH,prefix_missing_from_metadata
Sminthopsis_fuliginosa,"BMNH:Mamm:1846.4.4.59, BMNH:Mamm:1846.4.4.60, BMNH:Mamm:1846.4.4.61","BMNH:MAMM:1846.4.4.59,",BMNH,prefix_missing_from_metadata
Sminthopsis_hirtipes,BMNH:Mamm:1897.12.17.1,BMNH:MAMM:1897.12.17.1,BMNH,prefix_missing_from_metadata
Sminthopsis_leucopus,"BMNH:Mamm:1841.1812, BMNH:Mamm:1843.5.31.15","BMNH:MAMM:1841.1812,",BMNH,prefix_missing_from_metadata
Sminthopsis_macroura,BMNH:Mamm:1846.4.4.62,BMNH:MAMM:1846.4.4.62,BMNH,prefix_missing_from_metadata
Sminthopsis_murina,BMNH:Mamm:1855.12.24.95,BMNH:MAMM:1855.12.24.95,BMNH,prefix_missing_from_metadata
