sci_name,type_voucher,voucher_prefix,matched_abbreviation,issue
Moschus_chrysogaster,BMNH:Mamm:1843.1.12.93,BMNH:MAMM:1843.1.12.93,BMNH,prefix_missing_from_metadata
Moschus_cupreus,USNM:MAMM:63472,USNM:MAMM:63472,USNM,prefix_missing_from_metadata
Moschus_leucogaster,BMNH:Mamm:1843.1.12.95,BMNH:MAMM:1843.1.12.95,BMNH,prefix_missing_from_metadata
Hydropotes_inermis,BMNH:Mamm:1870.7.18.15 (= BMNH:Mamm:1551a),BMNH:MAMM:1870.7.18.15,BMNH,prefix_missing_from_metadata
Andinocervus_rufinus,"MNHN-ZM-MO-1851-61 (= MNHN:type:553) (= MNHN ""293-533"")",MNHN-ZM-MO-1851-61,MNHN,prefix_missing_from_metadata
Bisbalus_citus,FMNH:Mamm:18776,FMNH:MAMM:18776,FMNH,prefix_missing_from_metadata
Hippocamelus_antisensis,"MNHN-ZM-MO-1829-44 (= MNHN ""287-480A""), MNHN ""286-482"", MNHN ""288-483""",MNHN-ZM-MO-1829-44,MNHN,prefix_missing_from_metadata
Mazama_jucunda,BMNH:Mamm:1903.7.1.103,BMNH:MAMM:1903.7.1.103,BMNH,prefix_missing_from_metadata
Mazama_reperticia,USNM:MAMM:171673,USNM:MAMM:171673,USNM,prefix_missing_from_metadata
Mazama_zetta,BMNH:Mamm:1878.8.31.3,BMNH:MAMM:1878.8.31.3,BMNH,prefix_missing_from_metadata
Odocoileus_pandora,USNM:MAMM:108273,USNM:MAMM:108273,USNM,prefix_missing_from_metadata
Pudella_mephistophiles,BMNH:Mamm:1896.1.28.6,BMNH:MAMM:1896.1.28.6,BMNH,prefix_missing_from_metadata
Axis_kuhlii,"RMNH.MAM.43558, RMNH.MAM.43559, RMNH.MAM.51339","RMNH.MAM.43558,",RMNH,prefix_missing_from_metadata
Cervus_nippon,RMNH.MAM.25987,RMNH.MAM.25987,RMNH,prefix_missing_from_metadata
Dama_mesopotamica,"BMNH:Mamm:1895.4.7.1, BMNH:Mamm:1897.11.11.1, BMNH:Mamm:1897.11.11.2","BMNH:MAMM:1895.4.7.1,",BMNH,prefix_missing_from_metadata
Elaphurus_davidianus,MNHN-ZM-MO-1866-86 (= MNHN:AGal:364bis) (= MNHN:type:541),MNHN-ZM-MO-1866-86,MNHN,prefix_missing_from_metadata
Rucervus_duvaucelii,MNHN:type:540,MNHN:TYPE:540,MNHN,prefix_missing_from_metadata
Rucervus_schomburgki,"BMNH:Mamm:1891.12.2.1, BMNH:Mamm:1891.12.2.2","BMNH:MAMM:1891.12.2.1,",BMNH,prefix_missing_from_metadata
Rusa_alfredi,BMNH:Mamm:1876.2.30.1,BMNH:MAMM:1876.2.30.1,BMNH,prefix_missing_from_metadata
Rusa_marianna,"MNHN:AGal:414a, MNHN (unnumbered)","MNHN:AGAL:414A,",MNHN,prefix_missing_from_metadata
Rusa_timorensis,"RMNH.MAM.51426, RMNH.MAM.51427.A, RMNH.MAM.51427.B, RMNH.MAM.51429","RMNH.MAM.51426,",RMNH,prefix_missing_from_metadata
Elaphodus_cephalophus,"MNHN-ZM-MO-1870-551 (= MNHN:type:522) (= MNHN ""196-453 A"")",MNHN-ZM-MO-1870-551,MNHN,prefix_missing_from_metadata
Muntiacus_atherodes,BMNH:Mamm:1971.3088,BMNH:MAMM:1971.3088,BMNH,prefix_missing_from_metadata
Muntiacus_crinifrons,BMNH:Mamm:1891.3.4.1,BMNH:MAMM:1891.3.4.1,BMNH,prefix_missing_from_metadata
Muntiacus_montanus,BMNH:Mamm:1919.11.12.26,BMNH:MAMM:1919.11.12.26,BMNH,prefix_missing_from_metadata
Muntiacus_reevesi,BMNH:Mamm:1855.12.24.283,BMNH:MAMM:1855.12.24.283,BMNH,prefix_missing_from_metadata
Muntiacus_rooseveltorum,FMNH:Mamm:31783,FMNH:MAMM:31783,FMNH,prefix_missing_from_metadata
Giraffa_reticulata,BMNH:Mamm:1897.1.30.1,BMNH:MAMM:1897.1.30.1,BMNH,prefix_missing_from_metadata
Okapia_johnstoni,BMNH:Mamm:1901.8.9.53,BMNH:MAMM:1901.8.9.53,BMNH,prefix_missing_from_metadata
Hyemoschus_aquaticus,"BMNH:Mamm:1844.9.7.1, BMNH:Mamm:1846.2.28.1 (= BMNH:Mamm:680b)","BMNH:MAMM:1844.9.7.1,",BMNH,prefix_missing_from_metadata
Moschiola_indica,"BMNH:Mamm:1845.8.12.10 (= BMNH:Mamm:679a), BMNH:Mamm:1845.8.12.9",BMNH:MAMM:1845.8.12.10,BMNH,prefix_missing_from_metadata
Moschiola_kathygre,BMNH:Mamm:1946.209,BMNH:MAMM:1946.209,BMNH,prefix_missing_from_metadata
Tragulus_napu,"MNHN:type:519 (= MNHN ""166-573"")",MNHN:TYPE:519,MNHN,prefix_missing_from_metadata
Tragulus_nigricans,BMNH:Mamm:1891.11.28.2,BMNH:MAMM:1891.11.28.2,BMNH,prefix_missing_from_metadata
Tragulus_versicolor,BMNH:Mamm:1906.11.6.39,BMNH:MAMM:1906.11.6.39,BMNH,prefix_missing_from_metadata
Tragulus_williamsoni,BMNH:Mamm:1947.1510,BMNH:MAMM:1947.1510,BMNH,prefix_missing_from_metadata
Babyrousa_babyrussa,BMNH:Mamm:1867.4.12.223,BMNH:MAMM:1867.4.12.223,BMNH,prefix_missing_from_metadata
Babyrousa_togeanensis,RMNH.MAM.10607 (= MZB 81/40),RMNH.MAM.10607,RMNH,prefix_missing_from_metadata
Hylochoerus_meinertzhageni,BMNH:Mamm:1904.11.5.14,BMNH:MAMM:1904.11.5.14,BMNH,prefix_missing_from_metadata
Porcula_salvania,BMNH:Mamm:1858.6.24.72,BMNH:MAMM:1858.6.24.72,BMNH,prefix_missing_from_metadata
Sus_barbatus,RMNH.MAM.39243,RMNH.MAM.39243,RMNH,prefix_missing_from_metadata
Sus_celebensis,"RMNH.MAM.39245, RMNH.MAM.63651, RMNH.MAM.63652","RMNH.MAM.39245,",RMNH,prefix_missing_from_metadata
Sus_oliveri,FMNH:Mamm:148194,FMNH:MAMM:148194,FMNH,prefix_missing_from_metadata
Sus_verrucosus,RMNH.MAM.13509,RMNH.MAM.13509,RMNH,prefix_missing_from_metadata
Parachoerus_wagneri,MACN-Pv 14670,MACN-PV,MACN,prefix_missing_from_metadata
Sorex_mutabilis,USNM:MAMM:69600,USNM:MAMM:69600,USNM,prefix_missing_from_metadata
Sorex_nanus,USNM:MAMM:73773,USNM:MAMM:73773,USNM,prefix_missing_from_metadata
Sorex_navigator,USNM:MAMM:629 (= USNM:MAMM:A1780),USNM:MAMM:629,USNM,prefix_missing_from_metadata
Sorex_obscurus,USNM:MAMM:23525 (= USNM:MAMM:A30943),USNM:MAMM:23525,USNM,prefix_missing_from_metadata
Sorex_oreopolus,USNM:MAMM:33663 (= USNM:MAMM:A45698),USNM:MAMM:33663,USNM,prefix_missing_from_metadata
Sorex_orizabae,USNM:MAMM:53633,USNM:MAMM:53633,USNM,prefix_missing_from_metadata
Sorex_ornatus,USNM:MAMM:31333 (= USNM:MAMM:A43198),USNM:MAMM:31333,USNM,prefix_missing_from_metadata
Sorex_pacificus,USNM:MAMM:3266,USNM:MAMM:3266,USNM,prefix_missing_from_metadata
Sorex_palustris,BMNH:Mamm:1842.10.7.1,BMNH:MAMM:1842.10.7.1,BMNH,prefix_missing_from_metadata
Sorex_planiceps,USNM:MAMM:173915,USNM:MAMM:173915,USNM,prefix_missing_from_metadata
Sorex_preblei,USNM:MAMM:208032,USNM:MAMM:208032,USNM,prefix_missing_from_metadata
Sorex_pribilofensis,USNM:MAMM:30911,USNM:MAMM:30911,USNM,prefix_missing_from_metadata
Sorex_roboratus,USNM:MAMM:175436,USNM:MAMM:175436,USNM,prefix_missing_from_metadata
Sorex_salvini,USNM:MAMM:77035,USNM:MAMM:77035,USNM,prefix_missing_from_metadata
Sorex_saussurei,USNM:MAMM:33667 (= USNM:MAMM:A45702),USNM:MAMM:33667,USNM,prefix_missing_from_metadata
Sorex_sclateri,USNM:MAMM:75872,USNM:MAMM:75872,USNM,prefix_missing_from_metadata
Sorex_shinto,BMNH:Mamm:1906.1.4.30,BMNH:MAMM:1906.1.4.30,BMNH,prefix_missing_from_metadata
Sorex_sinalis,BMNH:Mamm:1912.8.5.3,BMNH:MAMM:1912.8.5.3,BMNH,prefix_missing_from_metadata
Sorex_sonomae,MVZ:Mamm:19658,MVZ:MAMM:19658,MVZ,prefix_missing_from_metadata
Sorex_stizodon,USNM:MAMM:75885,USNM:MAMM:75885,USNM,prefix_missing_from_metadata
Sorex_tenellus,USNM:MAMM:25083 (= USNM:MAMM:A32495),USNM:MAMM:25083,USNM,prefix_missing_from_metadata
Sorex_trowbridgii,USNM:MAMM:813 (= USNM:MAMM:A3088),USNM:MAMM:813,USNM,prefix_missing_from_metadata
Sorex_tundrensis,USNM:MAMM:99286,USNM:MAMM:99286,USNM,prefix_missing_from_metadata
Sorex_vagrans,USNM:MAMM:1675,USNM:MAMM:1675,USNM,prefix_missing_from_metadata
Sorex_ventralis,USNM:MAMM:68342,USNM:MAMM:68342,USNM,prefix_missing_from_metadata
Sorex_veraecrucis,USNM:MAMM:55106,USNM:MAMM:55106,USNM,prefix_missing_from_metadata
Sorex_veraepacis,BMNH:Mamm:1843.6.13.8,BMNH:MAMM:1843.6.13.8,BMNH,prefix_missing_from_metadata
Sorex_wardi,BMNH:Mamm:1911.2.1.46,BMNH:MAMM:1911.2.1.46,BMNH,prefix_missing_from_metadata
Galemys_pyrenaicus,"MNHN-ZM-2011-15 (= MNHN:type:254) (= MNHN ""180"")",MNHN-ZM-2011-15,MNHN,prefix_missing_from_metadata
Scapanulus_oweni,BMNH:Mamm:1912.8.5.2,BMNH:MAMM:1912.8.5.2,BMNH,prefix_missing_from_metadata
Scapanus_occultus,MVZ:Mamm:2369,MVZ:MAMM:2369,MVZ,prefix_missing_from_metadata
Scapanus_orarius,USNM:MAMM:1381 (= USNM:MAMM:A37434),USNM:MAMM:1381,USNM,prefix_missing_from_metadata
Euroscaptor_grandis,USNM:MAMM:255370,USNM:MAMM:255370,USNM,prefix_missing_from_metadata
Euroscaptor_klossi,BMNH:Mamm:1928.5.3.1,BMNH:MAMM:1928.5.3.1,BMNH,prefix_missing_from_metadata
Euroscaptor_longirostris,"MNHN-ZM-MO-1870-15 (= MNHN:type:251) (= MNHN-ZM-AC-A7078) (= MNHN ""210""), MNHN-ZM-MO-1870-18 (= MNHN:type:251a) (= MNHN ""213""), MNHN-ZM-MO-1870-19 (= MNHN:type:251b) (= MNHN ""214""), MNHN-ZM-MO-1870-19bis (= MNHN:type:251c) (= MNHN ""215"")",MNHN-ZM-MO-1870-15,MNHN,prefix_missing_from_metadata
Euroscaptor_malayanus,BMNH:Mamm:1947.1418,BMNH:MAMM:1947.1418,BMNH,prefix_missing_from_metadata
Euroscaptor_micrurus,BMNH:Mamm:1843.1.12.80,BMNH:MAMM:1843.1.12.80,BMNH,prefix_missing_from_metadata
Euroscaptor_parvidens,USNM:MAMM:258342,USNM:MAMM:258342,USNM,prefix_missing_from_metadata
Euroscaptor_subanura,IEBR-M1798,IEBR-M1798,IEBR,prefix_missing_from_metadata
Mogera_hainana,BMNH:Mamm:1910.4.25.4,BMNH:MAMM:1910.4.25.4,BMNH,prefix_missing_from_metadata
Mogera_insularis,"BMNH:Mamm:1862.12.24.19, RMNH.MAM.28701, RMNH.MAM.28702","BMNH:MAMM:1862.12.24.19,",BMNH,prefix_missing_from_metadata
Mogera_latouchei,BMNH:Mamm:1898.8.17.1,BMNH:MAMM:1898.8.17.1,BMNH,prefix_missing_from_metadata
Mogera_tokudae,Kuroda collection 379,KURODA,KU,prefix_missing_from_metadata
Mogera_uchidai,KUF (number not known),KUF,KU,prefix_missing_from_metadata
Mogera_wogura,RMNH.MAM.16249,RMNH.MAM.16249,RMNH,prefix_missing_from_metadata
Oreoscaptor_mizura,BMNH:Mamm:1880.3.20.17,BMNH:MAMM:1880.3.20.17,BMNH,prefix_missing_from_metadata
Scaptochirus_moschatus,MNHN-ZM-MO-1867-259 (= MNHN:type:253),MNHN-ZM-MO-1867-259,MNHN,prefix_missing_from_metadata
Talpa_aquitania,MNHN-ZM-2016-471,MNHN-ZM-2016-471,MNHN,prefix_missing_from_metadata
Talpa_davidiana,"MNHN-ZM-MO-1883-469 (= MNHN:type:252) (= MNHN ""219"")",MNHN-ZM-MO-1883-469,MNHN,prefix_missing_from_metadata
Talpa_levantis,BMNH:Mamm:1906.3.6.5,BMNH:MAMM:1906.3.6.5,BMNH,prefix_missing_from_metadata
Talpa_martinorum,ZFMK:Mamm:2017.1149,ZFMK:MAMM:2017.1149,ZFMK,prefix_missing_from_metadata
Talpa_occidentalis,BMNH:Mamm:1914.5.5.2 (= Cabrera collection 122),BMNH:MAMM:1914.5.5.2,BMNH,prefix_missing_from_metadata
Talpa_romana,BMNH:Mamm:1901.1.2.8,BMNH:MAMM:1901.1.2.8,BMNH,prefix_missing_from_metadata
Talpa_streeti,FMNH:Mamm:96424,FMNH:MAMM:96424,FMNH,prefix_missing_from_metadata
Scaptonyx_affinis,BMNH:Mamm:1912.3.18.1,BMNH:MAMM:1912.3.18.1,BMNH,prefix_missing_from_metadata
Scaptonyx_fusicauda,"MNHN-ZM-MO-1871-87a (= MNHN:type:257) (= MNHN ""184"")",MNHN-ZM-MO-1871-87A,MNHN,prefix_missing_from_metadata
Dymecodon_pilirostris,USNM:MAMM:15291 (= USNM:MAMM:A22139),USNM:MAMM:15291,USNM,prefix_missing_from_metadata
Neurotrichus_gibbsii,USNM:MAMM:662 (= USNM:MAMM:A1843),USNM:MAMM:662,USNM,prefix_missing_from_metadata
Urotrichus_talpoides,"BMNH:Mamm:1843.12.27.6, BMNH:Mamm:1844.2.2.94, RMNH.MAM.16251, RMNH.MAM.16252, RMNH.MAM.16253, RMNH.MAM.16254, RMNH.MAM.39018, RMNH.MAM.39019, RMNH.MAM.39020, RMNH.MAM.39021, RMNH.MAM.39022, RMNH.MAM.39023, RMNH.MAM.39024, RMNH.MAM.39025, RMNH.MAM.39026, RMNH.MAM.39027, RMNH.MAM.39028, RMNH.MAM.39029, RMNH.MAM.39030, RMNH.MAM.39372","BMNH:MAMM:1843.12.27.6,",BMNH,prefix_missing_from_metadata
Uropsilus_andersoni,BMNH:Mamm:1911.2.1.25,BMNH:MAMM:1911.2.1.25,BMNH,prefix_missing_from_metadata
Uropsilus_fansipanensis,IEBR-M-8101,IEBR-M-8101,IEBR,prefix_missing_from_metadata
Uropsilus_gracilis,BMNH:Mamm:1911.9.8.13,BMNH:MAMM:1911.9.8.13,BMNH,prefix_missing_from_metadata
Uropsilus_investigator,BMNH:Mamm:1922.9.1.16,BMNH:MAMM:1922.9.1.16,BMNH,prefix_missing_from_metadata
Uropsilus_soricipes,"MNHN-ZM-MO-1870-581 (= MNHN:type:256) (= MNHN ""171""), MNHN-ZM-MO-1870-583 (= MNHN:type:256a) (= MNHN ""172"")",MNHN-ZM-MO-1870-581,MNHN,prefix_missing_from_metadata
Nesophontes_hemicingulus,UF:VP:23295,UF:VP:23295,UF,prefix_missing_from_metadata
Nesophontes_hypomicrus,USNM:PAL:367223 (= USNM:MAMM:253077),USNM:PAL:367223,USNM,prefix_missing_from_metadata
Nesophontes_micrus,MCZ:VP:VPM-9600,MCZ:VP:VPM-9600,MCZ,prefix_missing_from_metadata
Nesophontes_paramicrus,USNM:PAL:367224 (= USNM:MAMM:253063),USNM:PAL:367224,USNM,prefix_missing_from_metadata
Nesophontes_zamicrus,USNM:PAL:367225 (= USNM:MAMM:252090),USNM:PAL:367225,USNM,prefix_missing_from_metadata
Atopogale_arredondoi,MNHNH V-95 (= Mayo 421/123),MNHNH,MNHN,prefix_missing_from_metadata
Solenodon_marcanoi,MCZ:VP:VPM-7261,MCZ:VP:VPM-7261,MCZ,prefix_missing_from_metadata
Balantiopteryx_infusca,BMNH:Mamm:1897.11.7.73,BMNH:MAMM:1897.11.7.73,BMNH,prefix_missing_from_metadata
Balantiopteryx_io,BMNH:Mamm:1886.9.3.1,BMNH:MAMM:1886.9.3.1,BMNH,prefix_missing_from_metadata
Centronycteris_centralis,BMNH:Mamm:1900.7.11.3,BMNH:MAMM:1900.7.11.3,BMNH,prefix_missing_from_metadata
Cyttarops_alecto,BMNH:Mamm:1912.11.4.5,BMNH:MAMM:1912.11.4.5,BMNH,prefix_missing_from_metadata
Diclidurus_isabella,BMNH:Mamm:1920.7.14.24,BMNH:MAMM:1920.7.14.24,BMNH,prefix_missing_from_metadata
Diclidurus_scutatus,"MNHN-ZM-MO-1859-340 (= MNHN:type:200) (= MNHN ""722"")",MNHN-ZM-MO-1859-340,MNHN,prefix_missing_from_metadata
Peropteryx_pallidoptera,ROM:MAM:104396,ROM:MAM:104396,ROM,prefix_missing_from_metadata
Saccopteryx_bilineata,RMNH.MAM.17461,RMNH.MAM.17461,RMNH,prefix_missing_from_metadata
Saccopteryx_canescens,BMNH:Mamm:1899.11.2.2,BMNH:MAMM:1899.11.2.2,BMNH,prefix_missing_from_metadata
Saccopteryx_gymnura,BMNH:Mamm:1875.10.22.2,BMNH:MAMM:1875.10.22.2,BMNH,prefix_missing_from_metadata
Coleura_afra,"BMNH:Mamm:1858.6.18.12, BMNH:Mamm:1907.1.1.703, RMNH.MAM.27333, ZMB 429, ZMB 430, ZMB 571, ZMB 54845, ZMB 67559, ZMB 67561, ZMB 67562, ZMB 85667, ZMB 85668, ZMB 85669","BMNH:MAMM:1858.6.18.12,",BMNH,prefix_missing_from_metadata
Coleura_gallarum,BMNH:Mamm:1911.8.2.4,BMNH:MAMM:1911.8.2.4,BMNH,prefix_missing_from_metadata
Coleura_kibomalandy,FMNH:Mamm:213598,FMNH:MAMM:213598,FMNH,prefix_missing_from_metadata
Emballonura_dianae,BMNH:Mamm:1954.875,BMNH:MAMM:1954.875,BMNH,prefix_missing_from_metadata
Emballonura_furax,BMNH:Mamm:1911.11.11.12,BMNH:MAMM:1911.11.11.12,BMNH,prefix_missing_from_metadata
Emballonura_monticola,RMNH.MAM.35332,RMNH.MAM.35332,RMNH,prefix_missing_from_metadata
Emballonura_raffrayana,BMNH:Mamm:1879.10.6.2,BMNH:MAMM:1879.10.6.2,BMNH,prefix_missing_from_metadata
Emballonura_semicaudata,USNM:MAMM:3727,USNM:MAMM:3727,USNM,prefix_missing_from_metadata
Mosia_nigrescens,BMNH:Mamm:1842.11.22.26,BMNH:MAMM:1842.11.22.26,BMNH,prefix_missing_from_metadata
Paremballonura_tiavato,FMNH:Mamm:169705,FMNH:MAMM:169705,FMNH,prefix_missing_from_metadata
Saccolaimus_peli,RMNH.MAM.35897,RMNH.MAM.35897,RMNH,prefix_missing_from_metadata
Saccolaimus_saccolaimus,RMNH.MAM.33630,RMNH.MAM.33630,RMNH,prefix_missing_from_metadata
Taphozous_achates,BMNH:Mamm:1897.4.18.23,BMNH:MAMM:1897.4.18.23,BMNH,prefix_missing_from_metadata
Taphozous_australis,"BMNH:Mamm:1855.11.7.10, BMNH:Mamm:1855.11.7.11","BMNH:MAMM:1855.11.7.10,",BMNH,prefix_missing_from_metadata
Taphozous_georgianus,BMNH:Mamm:1844.2.27.59,BMNH:MAMM:1844.2.27.59,BMNH,prefix_missing_from_metadata
Taphozous_hamiltoni,BMNH:Mamm:1919.12.18.1,BMNH:MAMM:1919.12.18.1,BMNH,prefix_missing_from_metadata
Taphozous_hildegardeae,BMNH:Mamm:1909.6.12.7,BMNH:MAMM:1909.6.12.7,BMNH,prefix_missing_from_metadata
Taphozous_mauritianus,MNHN-ZM-MO-1997-1845 (= MNHN:AGal:381) (= MNHN:type:199),MNHN-ZM-MO-1997-1845,MNHN,prefix_missing_from_metadata
Taphozous_melanopogon,"RMNH.MAM.35318, RMNH.MAM.35319, RMNH.MAM.35320","RMNH.MAM.35318,",RMNH,prefix_missing_from_metadata
Taphozous_nudiventris,SMF:MAMM:4310,SMF:MAMM:4310,SMF,prefix_missing_from_metadata
Taphozous_perforatus,MNHN-ZM-MO-1986-1100 (= MNHN:AGal:372) (= MNHN:type:198),MNHN-ZM-MO-1986-1100,MNHN,prefix_missing_from_metadata
Taphozous_theobaldi,"BMNH:Mamm:1909.4.4.6, ZSI 15612 (= IMC 187b)","BMNH:MAMM:1909.4.4.6,",BMNH,prefix_missing_from_metadata
Myzopoda_aurita,MNHN-ZM-MO-1977-770 (= MNHN:type:223),MNHN-ZM-MO-1977-770,MNHN,prefix_missing_from_metadata
Myzopoda_schliemanni,FMNH:Mamm:177327,FMNH:MAMM:177327,FMNH,prefix_missing_from_metadata
Nycteris_arge,BMNH:Mamm:1904.2.8.2,BMNH:MAMM:1904.2.8.2,BMNH,prefix_missing_from_metadata
Nycteris_aurita,BMNH:Mamm:1889.1.11.1,BMNH:MAMM:1889.1.11.1,BMNH,prefix_missing_from_metadata
Nycteris_gambiensis,BMNH:Mamm:1911.6.10.10,BMNH:MAMM:1911.6.10.10,BMNH,prefix_missing_from_metadata
Nycteris_grandis,RMNH.MAM.27348,RMNH.MAM.27348,RMNH,prefix_missing_from_metadata
Nycteris_javanica,"MNHN-ZM-MO-1997-1821 (= MNHN:type:173) (= MNHN ""156"") (= MNHN ""893"")",MNHN-ZM-MO-1997-1821,MNHN,prefix_missing_from_metadata
Nycteris_macrotis,BMNH:Mamm:1866.2.2.2,BMNH:MAMM:1866.2.2.2,BMNH,prefix_missing_from_metadata
Nycteris_major,BMNH:Mamm:1909.10.2.49,BMNH:MAMM:1909.10.2.49,BMNH,prefix_missing_from_metadata
Nycteris_nana,BMNH:Mamm:1900.2.5.46,BMNH:MAMM:1900.2.5.46,BMNH,prefix_missing_from_metadata
Nycteris_thebaica,"MNHN-ZM-MO-1997-1800 (= MNHN:type:172) (= MNHN ""142"") (= MNHN ""889"")",MNHN-ZM-MO-1997-1800,MNHN,prefix_missing_from_metadata
Nycteris_tragata,BMNH:Mamm:1903.3.31.1,BMNH:MAMM:1903.3.31.1,BMNH,prefix_missing_from_metadata
Nycteris_woodi,BMNH:Mamm:1914.4.22.2,BMNH:MAMM:1914.4.22.2,BMNH,prefix_missing_from_metadata
Furipterus_horrens,MNHN-ZM-AC-I-577,MNHN-ZM-AC-I-577,MNHN,prefix_missing_from_metadata
Pteronotus_davyi,BMNH:Mamm:1909.1.4.74,BMNH:MAMM:1909.1.4.74,BMNH,prefix_missing_from_metadata
Pteronotus_fulvus,BMNH:Mamm:1893.2.5.24,BMNH:MAMM:1893.2.5.24,BMNH,prefix_missing_from_metadata
Pteronotus_macleayii,BMNH:Mamm:1838.6.21.8,BMNH:MAMM:1838.6.21.8,BMNH,prefix_missing_from_metadata
Pteronotus_mesoamericanus,KU:M:64713,KU:M:64713,KU,prefix_missing_from_metadata
Pteronotus_mexicanus,USNM:MAMM:89277,USNM:MAMM:89277,USNM,prefix_missing_from_metadata
Pteronotus_parnellii,"BMNH:Mamm:1843.6.15.6, BMNH:Mamm:1843.6.15.7","BMNH:MAMM:1843.6.15.6,",BMNH,prefix_missing_from_metadata
Pteronotus_portoricensis,USNM:MAMM:102358,USNM:MAMM:102358,USNM,prefix_missing_from_metadata
Pteronotus_psilotis,"BMNH:Mamm:1850.8.29.3, BMNH:Mamm:1850.8.29.4","BMNH:MAMM:1850.8.29.3,",BMNH,prefix_missing_from_metadata
Pteronotus_pusillus,MCZ:Mamm:16468,MCZ:MAMM:16468,MCZ,prefix_missing_from_metadata
Noctilio_leporinus,BMNH:Mamm:1867.4.12.339,BMNH:MAMM:1867.4.12.339,BMNH,prefix_missing_from_metadata
Carollia_benkeithi,TTU-M46187,TTU-M46187,TTU-M,prefix_missing_from_metadata
Carollia_castanea,USNM:MAMM:12914 (= USNM:MAMM:A36834),USNM:MAMM:12914,USNM,prefix_missing_from_metadata
Carollia_perspicillata,BMNH:Mamm:1867.4.12.597,BMNH:MAMM:1867.4.12.597,BMNH,prefix_missing_from_metadata
Carollia_sowelli,TTU-M82495,TTU-M82495,TTU-M,prefix_missing_from_metadata
Carollia_subrufa,USNM:MAMM:75127,USNM:MAMM:75127,USNM,prefix_missing_from_metadata
Diaemus_youngii,RMNH.MAM.12088,RMNH.MAM.12088,RMNH,prefix_missing_from_metadata
Brachyphylla_cavernarum,BMNH:Mamm:1977.2746,BMNH:MAMM:1977.2746,BMNH,prefix_missing_from_metadata
Brachyphylla_nana,USNM:MAMM:103828,USNM:MAMM:103828,USNM,prefix_missing_from_metadata
Erophylla_bombifrons,USNM:MAMM:86274,USNM:MAMM:86274,USNM,prefix_missing_from_metadata
Phyllonycteris_aphylla,USNM:MAMM:255514,USNM:MAMM:255514,USNM,prefix_missing_from_metadata
Anoura_caudifer,"MNHN-ZM-2007-1566 (= MNHN ""937"")",MNHN-ZM-2007-1566,MNHN,prefix_missing_from_metadata
Anoura_cultrata,USNM:MAMM:309396,USNM:MAMM:309396,USNM,prefix_missing_from_metadata
Anoura_geoffroyi,BMNH:Mamm:11a,BMNH:MAMM:11A,BMNH,prefix_missing_from_metadata
Anoura_latidens,USNM:MAMM:370119,USNM:MAMM:370119,USNM,prefix_missing_from_metadata
Choeroniscus_godmani,BMNH:Mamm:1879.12.24.1,BMNH:MAMM:1879.12.24.1,BMNH,prefix_missing_from_metadata
Choeroniscus_periosus,USNM:MAMM:344918,USNM:MAMM:344918,USNM,prefix_missing_from_metadata
Hylonycteris_underwoodi,BMNH:Mamm:1903.2.1.5,BMNH:MAMM:1903.2.1.5,BMNH,prefix_missing_from_metadata
Lichonycteris_degener,USNM:MAMM:239520,USNM:MAMM:239520,USNM,prefix_missing_from_metadata
Lichonycteris_obscura,BMNH:Mamm:1895.4.27.1,BMNH:MAMM:1895.4.27.1,BMNH,prefix_missing_from_metadata
Musonycteris_harrisoni,LACM:Mamm:11480,LACM:MAMM:11480,LACM,prefix_missing_from_metadata
Scleronycteris_ega,BMNH:Mamm:1907.1.1.671,BMNH:MAMM:1907.1.1.671,BMNH,prefix_missing_from_metadata
Glossophaga_bakeri,TTU-M9093,TTU-M9093,TTU-M,prefix_missing_from_metadata
Glossophaga_commissarisi,LACM:Mamm:14130,LACM:MAMM:14130,LACM,prefix_missing_from_metadata
Glossophaga_leachii,BMNH:Mamm:1842.8.17.17,BMNH:MAMM:1842.8.17.17,BMNH,prefix_missing_from_metadata
Glossophaga_longirostris,MCZ:Mamm:BANGS-8046,MCZ:MAMM:BANGS-8046,MCZ,prefix_missing_from_metadata
Glossophaga_mutica,USNM:MAMM:89271,USNM:MAMM:89271,USNM,prefix_missing_from_metadata
Glossophaga_valens,FMNH:Mamm:19868,FMNH:MAMM:19868,FMNH,prefix_missing_from_metadata
Leptonycteris_curasoae,USNM:MAMM:101851,USNM:MAMM:101851,USNM,prefix_missing_from_metadata
Monophyllus_plethodon,USNM:MAMM:101530,USNM:MAMM:101530,USNM,prefix_missing_from_metadata
Monophyllus_redmani,BMNH:Mamm:10a,BMNH:MAMM:10A,BMNH,prefix_missing_from_metadata
Glyphonycteris_daviesi,BMNH:Mamm:1964.767,BMNH:MAMM:1964.767,BMNH,prefix_missing_from_metadata
Glyphonycteris_sylvestris,BMNH:Mamm:1896.10.1.2,BMNH:MAMM:1896.10.1.2,BMNH,prefix_missing_from_metadata
Trinycteris_nicefori,FMNH:Mamm:64266,FMNH:MAMM:64266,FMNH,prefix_missing_from_metadata
Hsunycteris_cadenai,USNM:MAMM:483359,USNM:MAMM:483359,USNM,prefix_missing_from_metadata
Lionycteris_spurrelli,BMNH:Mamm:1913.8.10.1,BMNH:MAMM:1913.8.10.1,BMNH,prefix_missing_from_metadata
Lonchophylla_chocoana,ROM:MAM:105786,ROM:MAM:105786,ROM,prefix_missing_from_metadata
