issue_type,voucher_prefix,species_count,related_metadata_abbreviations,example_species,notes
prefix_not_in_metadata,LZH,2,,Xanthonycticebus_intermedius; Trachypithecus_hatinhensis,Voucher prefix not in metadata; no related abbreviation detected.
prefix_not_in_metadata,LINNMUS,2,,Talpa_europaea; Sciurus_vulgaris,Voucher prefix not in metadata; no related abbreviation detected.
prefix_not_in_metadata,MHNUCA,2,,Neoeptesicus_orinocensis; Coendou_vossi,Voucher prefix not in metadata; no related abbreviation detected.
prefix_not_in_metadata,MUA,2,,Saccopteryx_antioquensis; Carollia_monohernandezi,Voucher prefix not in metadata; no related abbreviation detected.
prefix_not_in_metadata,MZACUT,2,,Sorex_antinorii; Mops_aloysiisabaudiae,Voucher prefix not in metadata; no related abbreviation detected.
prefix_not_in_metadata,NHMBZ,2,,Rhinolophus_sakejiensis; Rhinolophus_smithersi,Voucher prefix not in metadata; no related abbreviation detected.
prefix_not_in_metadata,NNPM,2,,Spalax_arenarius; Apodemus_ponticus,Voucher prefix not in metadata; no related abbreviation detected.
prefix_not_in_metadata,TIHO,2,,Lepilemur_otto; Microcebus_jonahi,Voucher prefix not in metadata; no related abbreviation detected.
prefix_not_in_metadata,UIMNH,2,,Chiropodomys_calamianensis; Peromyscus_hooperi,Voucher prefix not in metadata; no related abbreviation detected.
prefix_not_in_metadata,USAC,2,,Peromyscus_bakeri; Peromyscus_gardneri,Voucher prefix not in metadata; no related abbreviation detected.
prefix_not_in_metadata,YIO,2,,Sorex_leucogaster; Anourosorex_yamashinai,Voucher prefix not in metadata; no related abbreviation detected.
prefix_not_in_metadata,YPM,2,,Cuscomys_oblativus; Cercopithecus_lomamiensis,Voucher prefix not in metadata; no related abbreviation detected.
prefix_not_in_metadata,ZRC,2,,Trachypithecus_selangorensis; Arctonyx_hoevenii,Voucher prefix not in metadata; no related abbreviation detected.
