species_id,sci_name,sci_name_space,family,order,type_locality,type_voucher,museum_abbreviation,geocode_query,type_lat_suggested,type_lon_suggested,coordinate_uncertainty_m,geocode_method,geocode_confidence,geocode_notes,review_status,qc_decision,qc_notes
1002236,Neotoma_insularis,Neotoma insularis,Cricetidae,Rodentia,"Isla Ángel de la Guarda, Baja California Norte, Mexico.",USNM:MAMM:198405 (= AMNH M-31922),USNM,"Isla Ángel de la Guarda, Baja California Norte, Mexico",29.269589,-113.306176,50000,nominatim,medium,"Nominatim query derived from type_locality for Neotoma_insularis.; match=Isla Ángel de la Guarda, Municipio de San Quintín, Baja California, México",proposed,accept,[auto] country hint matches Nominatim result
1002238,Neotoma_leucodon,Neotoma leucodon,Cricetidae,Rodentia,"San Luis Potosí, San Luis Potosí, Mexico.",USNM:MAMM:50137,USNM,"San Luis Potosí, San Luis Potosí, Mexico",22.151647,-100.976399,50000,nominatim,medium,"Nominatim query derived from type_locality for Neotoma_leucodon.; match=San Luis Potosí, Municipio de San Luis Potosí, San Luis Potosí, 78000, México",proposed,accept,[auto] country hint matches Nominatim result
1002241,Neotoma_melanura,Neotoma melanura,Cricetidae,Rodentia,"Ortiz, Sonora, Mexico.",USNM:MAMM:17819 (= USNM:MAMM:A24756),USNM,"Ortiz, Sonora, Mexico",28.288181,-110.714082,50000,nominatim,medium,"Nominatim query derived from type_locality for Neotoma_melanura.; match=Ortiz, Guaymas, Sonora, México",proposed,accept,[auto] country hint matches Nominatim result
1002243,Neotoma_micropus,Neotoma micropus,Cricetidae,Rodentia,"Charco Escondido, Tamaulipas, Mexico.",USNM:MAMM:A1676 (= USNM:MAMM:554),USNM,"Charco Escondido, Tamaulipas, Mexico",25.775481,-98.353115,50000,nominatim,medium,"Nominatim query derived from type_locality for Neotoma_micropus.; match=Congregación Garza (Charco Escondido), Reynosa, Tamaulipas, México",proposed,accept,[auto] country hint matches Nominatim result
1002597,Nephelomys_albigularis,Nephelomys albigularis,Cricetidae,Rodentia,"Pallatanga, Chimborazo, Ecuador.",BMNH:Mamm:1907.1.1.105,BMNH,"Pallatanga, Chimborazo, Ecuador",-2.016730,-78.930229,50000,nominatim,medium,"Nominatim query derived from type_locality for Nephelomys_albigularis.; match=Pallatanga, Chimborazo, Ecuador",proposed,accept,[auto] country hint matches Nominatim result
1002600,Nephelomys_childi,Nephelomys childi,Cricetidae,Rodentia,"Bogota, Cundinamarca, Colombia.",BMNH:Mamm:1895.8.1.38,BMNH,"Bogota, Cundinamarca, Colombia",4.777637,-74.117302,50000,nominatim,medium,"Nominatim query derived from type_locality for Nephelomys_childi.; match=Río Bogotá, Cundinamarca, RAP (Especial) Central, Colombia",proposed,accept,[auto] country hint matches Nominatim result
1002605,Nephelomys_meridensis,Nephelomys meridensis,Cricetidae,Rodentia,"""Merida, Venezuela.""",BMNH:Mamm:1894.9.25.13,BMNH,"Merida, Venezuela",8.581696,-71.165807,50000,nominatim,medium,"Nominatim query derived from type_locality for Nephelomys_meridensis.; match=Mérida, Parroquia El Llano, Municipio Libertador, Mérida, 5115, Venezuela",proposed,accept,[auto] country hint matches Nominatim result
1002617,Oecomys_bicolor,Oecomys bicolor,Cricetidae,Rodentia,"""Gualaquiza,"" Morona Santiago, Ecuador.",BMNH:Mamm:1907.1.1.96,BMNH,"Gualaquiza,"" Morona Santiago, Ecuador",-3.327714,-78.706485,50000,nominatim,medium,"Nominatim query derived from type_locality for Oecomys_bicolor.; match=Gualaquiza, Morona Santiago, Ecuador",proposed,accept,[auto] country hint matches Nominatim result
1002621,Oecomys_flavicans,Oecomys flavicans,Cricetidae,Rodentia,"""Merida, Venezuela.""",BMNH:Mamm:1894.9.25.14,BMNH,"Merida, Venezuela",8.581696,-71.165807,50000,nominatim,medium,"Nominatim query derived from type_locality for Oecomys_flavicans.; match=Mérida, Parroquia El Llano, Municipio Libertador, Mérida, 5115, Venezuela",proposed,accept,[auto] country hint matches Nominatim result
1002635,Oligoryzomys_arenalis,Oligoryzomys arenalis,Cricetidae,Rodentia,"Etén, Lambayeque, Peru.",BMNH:Mamm:1900.3.1.60,BMNH,"Etén, Lambayeque, Peru",-6.941510,-79.808984,50000,nominatim,medium,"Nominatim query derived from type_locality for Oligoryzomys_arenalis.; match=Etén, Chiclayo, Lambayeque, Perú",proposed,accept,[auto] country hint matches Nominatim result
