species_id,sci_name,sci_name_space,family,order,type_locality,type_voucher,museum_abbreviation,geocode_query,type_lat_suggested,type_lon_suggested,coordinate_uncertainty_m,geocode_method,geocode_confidence,geocode_notes,review_status,qc_decision,qc_notes
1001041,Euoticus_pallidus,Euoticus pallidus,Galagidae,Primates,"Equatorial Guinea, Bioko.","BMNH:Mamm:1863.4.16.11, BMNH:Mamm:1863.4.16.12",BMNH,"Equatorial Guinea, Bioko",3.498652,8.713606,50000,nominatim,medium,"Nominatim query derived from type_locality for Euoticus_pallidus.; match=Bioko, Bioko Sur, Región Insular, Guinea Ecuatorial",proposed,,
1001051,Paragalago_cocos,Paragalago cocos,Galagidae,Primates,"Kenya, Mazeras.",USNM:MAMM:181810,USNM,"Kenya, Mazeras",-3.966806,39.551537,50000,nominatim,medium,"Nominatim query derived from type_locality for Paragalago_cocos.; match=Mazeras, Rabai/Kisurutini ward, Rabai, Kilifi, Kenya",proposed,,
1001057,Sciurocheirus_gabonensis,Sciurocheirus gabonensis,Galagidae,Primates,Gabon.,"BMNH:Mamm:1862.1.14.1, BMNH:Mamm:1862.1.14.2",BMNH,"Gabon, United Kingdom",51.497645,-0.180902,50000,nominatim,medium,"Nominatim query derived from type_locality for Sciurocheirus_gabonensis.; match=Embassy of Gabon, 27, Elvaston Place, South Kensington, Royal Borough of Kensington and Chelsea, Greater London, England, SW7 5QG, United Kingdom",proposed,,
