matched_abbreviation,matched_name,vouchers,geocoded
LACM,Natural History Museum of Los Angeles County,9,7
BMNH,"Natural History Museum, London",1899,321
BMNHC,"Natural History Museum, London",2,2
NHMO,"Natural History Museum, University of Oslo, Norway",6,1
RMNH,Naturalis Biodiversity Center,220,20
NMW,Naturhistorisches Museum Wien,39,15
NHRM,Naturhistoriska riksmuseet,20,2
OMUS,Ondokuz Mayıs University mammal collection,3,3
OUM,Oxford University Museum of Natural History,2,1
PBZT,Parc Botanique et Zoologique de Tsimbazaza,2,2
PSUZC,Princess Maha Chakri Sirindhorn Natural History Museum,5,5
QM,Queensland Museum,24,18
RMCA,Royal Museum for Central Africa,33,20
ROM,Royal Ontario Museum,24,23
MTD,Senckenberg Museum für Tierkunde Dresden,18,4
SZM,Siberian Zoological Museum,3,1
SAF,Sichuan Academy of Forestry,26,26
SAMA,South Australian Museum,8,5
SCNU,South China Normal University,3,3
SMNK,Staatliches Museum für Naturkunde Karlsruhe,1,0
MCZ,The Louis Agassiz Museum of Comparative Zoology,62,11
ZFMK,The Zoological Research Museum Alexander Koenig,38,20
UCLA,UCLA Mammalogy Collection / Dickey Collection,8,5
UFPB,Universidade Federal da Paraiba,8,7
UFMT,Universidade Federal de Mato Grosso,5,5
UFPA,Universidade Federal do Pará,2,2
KU,University of Kansas Biodiversity Institute and Natural History Museum,33,13
UMMZ,University of Michigan Museum of Zoology,26,8
UWBM,University of Washington Burke Museum,1,1
ULPS,"Université Louis Pasteur, Strasbourg",4,4
UANT,"Université d'Antananarivo, Département de Biologie animale",4,4
UUZM,"Uppsala University, Museum of Evolution, Zoology section",10,1
WAM,Western Australian Museum,37,34
LHB,Zoological Collection of the Royal Agricultural University of Berlin,3,0
ZIN,"Zoological Institute, Russian Academy of Sciences",94,21
ZMF,Zoological Museum Frankfurt,5,5
ZMUC,Zoological Museum University of Copenhagen,19,2
ZMMU,Zoological Museum of the Moscow State University,62,26
ZSI,Zoological Survey of India collections at the Indian Museum,59,9
ZSIS,"Zoological Survey of India, North Eastern Regional Centre",2,2
ZSM,Zoologisches Staats-Sammlung München,22,0
ZMA,"Zoölogisch Museum, Amsterdam",5,4
