species_id,sci_name,sci_name_space,family,order,type_locality,type_voucher,museum_abbreviation,geocode_query,type_lat_suggested,type_lon_suggested,coordinate_uncertainty_m,geocode_method,geocode_confidence,geocode_notes,review_status,qc_decision,qc_notes,qc_reviewed,qc_review_notes
1000046,Marmosa_mexicana,Marmosa mexicana,Didelphidae,Didelphimorphia,"""Juquila, Oaxaca,"" Mexico.",USNM:MAMM:71526,USNM,"Juquila, Oaxaca,"" Mexico",17.07941,-96.762229,50000,nominatim,medium,"Nominatim query derived from type_locality for Marmosa_mexicana.; match=Juquila, San Martin Mexicapam, Santa María Atzompa, Oaxaca, 71222, México",proposed,accept,[auto] country hint matches Nominatim result,accept,No obvious country/locality mismatch detected.
1000113,Marmosops_incanus,Marmosops incanus,Didelphidae,Didelphimorphia,"""Rio das Velhas,"" Lagoa Santa, Minas Gerais, Brazil.","ZMUC L.14, ZMUC L.15, ZMUC 223, ZMUC 224",ZMUC,"Rio das Velhas,"" Lagoa Santa, Minas Gerais, Brazil",-18.954365,-44.092273,50000,nominatim,medium,"Nominatim query derived from type_locality for Marmosops_incanus.; match=Rio das Velhas, Santa Rita do Cedro, Santana de Pirapama, Minas Gerais, Região Sudeste, Brasil",proposed,accept,[auto] country hint matches Nominatim result,accept,No obvious country/locality mismatch detected.
1000082,Monodelphis_scalops,Monodelphis scalops,Didelphidae,Didelphimorphia,"""Brazil."" Restricted by C. O. da C. Vieira in 1950 to Teresópolis, Rio de Janeiro, Brazil.",BMNH:Mamm:1851.7.21.23,BMNH,Brazil,-10.333333,-53.2,50000,nominatim,medium,Nominatim query derived from type_locality for Monodelphis_scalops.; match=Brasil,proposed,accept,[auto] country hint matches Nominatim result,accept,No obvious country/locality mismatch detected.
1000032,Philander_opossum,Philander opossum,Didelphidae,Didelphimorphia,"""America."" Restricted by J. A. Allen in 1900 to ""Surinam"" and further restricted by P. Matschie in 1916 to ""Paramaribo, Surinam.""",RMNH.MAM.25421.a,RMNH,"America, The Netherlands",51.437148,5.9799,50000,nominatim,medium,"Nominatim query derived from type_locality for Philander_opossum.; match=America, Horst aan de Maas, Limburg, Nederland",proposed,review,"[auto] medium confidence, no country rule",accept,No obvious country/locality mismatch detected.
1001989,Jaculus_jaculus,Jaculus jaculus,Dipodidae,Rodentia,"Giza Pyramids, Egypt.",UUZM type #119,UUZM,"Giza Pyramids, Egypt",29.970781,31.124233,50000,nominatim,medium,"Nominatim query derived from type_locality for Jaculus_jaculus.; match=أهرامات الجيزة, الجيزة, مصر",proposed,accept,[auto] country hint matches Nominatim result,accept,No obvious country/locality mismatch detected.
1001962,Orientallactaga_balikunica,Orientallactaga balikunica,Dipodidae,Rodentia,"Balikun (= Barkol), Xinjiang, China.",BIZ 20071,BIZ,"Balikun (= Barkol), Xinjiang, China",44.70632,94.096256,50000,nominatim,medium,"Nominatim query derived from type_locality for Orientallactaga_balikunica.; match=China Border Control, 巴里坤哈萨克自治县 باركۆل قازاق ئاپتونوم ناھىيىسى / باركول قازاق اۆتونوميالىق اۋدانى, 哈密市 قۇمۇل شەھىرى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国",proposed,accept,[auto] country hint matches Nominatim result,accept,No obvious country/locality mismatch detected.
1001979,Salpingotus_kozlovi,Salpingotus kozlovi,Dipodidae,Rodentia,"Khara-Khoto, Inner Mongolia, China.",ZIN S. 13256,ZIN,"Khara-Khoto, Inner Mongolia, China",41.764384,101.143378,50000,nominatim,medium,"Nominatim query derived from type_locality for Salpingotus_kozlovi.; match=亦集乃路, 巴彦陶来苏木 ᠪᠠᠶᠠᠨᠲᠣᠣᠷᠠᠢ ᠰᠤᠮᠤ, 额济纳旗 ᠡᠵᠡᠨ᠎ᠡ ᠬᠣᠰᠢᠭᠤ, 阿拉善盟 ᠠᠯᠠᠱᠠ ᠠᠶᠢᠮᠠᠭ, 内蒙古自治区 ᠦᠪᠦᠷ ᠮᠣᠩᠭᠤᠯ ᠤᠨ ᠥᠪᠡᠷᠲᠡᠭᠡᠨ ᠵᠠᠰᠠᠬᠣ ᠣᠷᠣᠨ, 中国",proposed,accept,[auto] country hint matches Nominatim result,accept,No obvious country/locality mismatch detected.
1006686,Scarturus_heptneri,Scarturus heptneri,Dipodidae,Rodentia,"Fergana Valley, Namangan, Uzbekistan.",ASRU 424,ASRU,"Fergana Valley, Namangan, Uzbekistan",40.727908,71.236896,50000,nominatim,medium,"Nominatim query derived from type_locality for Scarturus_heptneri.; match=Ферганская долина, Namangan Viloyati, Oʻzbekiston",proposed,review,"[auto] medium confidence, no country rule",accept,No obvious country/locality mismatch detected.
1001399,Diplomys_caniceps,Diplomys caniceps,Echimyidae,Rodentia,"""Medellin,"" Antioquia, Colombia.",BMNH:Mamm:1876.8.8.9,BMNH,"Medellin,"" Antioquia, Colombia",6.269732,-75.60256,50000,nominatim,medium,"Nominatim query derived from type_locality for Diplomys_caniceps.; match=Medellín, Valle de Aburrá, Antioquia, RAP del Agua y la Montaña, 0500, Colombia",proposed,accept,[auto] country hint matches Nominatim result,accept,No obvious country/locality mismatch detected.
1001401,Echimys_chrysurus,Echimys chrysurus,Echimyidae,Rodentia,"""Surinam [= Suriname],"" based on Allamand's (1778) ""lérot à queue dorée.""","MNHN ""403""",MNHN,"Suriname, France",4.600289,-54.420285,50000,nominatim,medium,"Nominatim query derived from type_locality for Echimys_chrysurus.; match=France, Tapanahony, Sipaliwini, Suriname",proposed,review,"[auto] medium confidence, no country rule",accept,No obvious country/locality mismatch detected.
1001422,Pattonomys_carrikeri,Pattonomys carrikeri,Echimyidae,Rodentia,"""San Esteban,"" Carabobo, Venezuela.",AMNH M-31530,AMNH,"San Esteban,"" Carabobo, Venezuela",10.424783,-68.013225,50000,nominatim,medium,"Nominatim query derived from type_locality for Pattonomys_carrikeri.; match=San Esteban, Parroquia Bartolomé Salom, Municipio Puerto Cabello, Carabobo, 2050, Venezuela",proposed,accept,[auto] country hint matches Nominatim result,accept,No obvious country/locality mismatch detected.
1001424,Pattonomys_punctatus,Pattonomys punctatus,Echimyidae,Rodentia,"""Caicara, Orinoco,"" Bolívar, Venezuela.",BMNH:Mamm:1898.12.1.18,BMNH,"Caicara, Orinoco,"" Bolívar, Venezuela",7.625657,-66.163513,50000,nominatim,medium,"Nominatim query derived from type_locality for Pattonomys_punctatus.; match=Aeropuerto de Caicara del Orinoco, Calle Caracute, La Corobita, Chaguaramal, Caicara del Orinoco, Parroquia Caicara, Municipio Cedeño, Bolívar, Venezuela",proposed,accept,[auto] country hint matches Nominatim result,accept,No obvious country/locality mismatch detected.
1001450,Proechimys_cuvieri,Proechimys cuvieri,Echimyidae,Rodentia,"""Saül (S21), Guyane française,"" French Guiana.",MNHN-ZM-MO-1977-774,MNHN,"Saül (S21), Guyane française,"" French Guiana, France",3.62256,-53.210934,50000,nominatim,medium,"Nominatim query derived from type_locality for Proechimys_cuvieri.; match=Saül, Saint-Laurent-du-Maroni, Guyane, 97314, France",proposed,review,"[auto] medium confidence, no country rule",accept,No obvious country/locality mismatch detected.
